epoch,step,effective_epoch,epsilon_spent,test_loss,test_accuracy,elapsed_seconds,eval_seconds
1,98,1.00352,nan,0.88196337890625,0.7221,140.60873181652278,9.919875954277813
2,196,2.00704,nan,0.5337225479125977,0.8244,211.26382318977267,12.189000462181866
3,293,3.00032,nan,0.4230961212158203,0.8614,281.27018404752016,12.449153752066195
4,391,4.00384,nan,0.37285624923706057,0.8827,351.6751711834222,10.259023618884385
5,488,4.99712,nan,0.34337576751708987,0.8937,421.1150048431009,11.369362876750529
