step,p_mean,p_median,p_p10,p_p25,p_p75,p_p90,p_rms,relative_change
1,830.9827779891011,108.54825210571289,44.511915588378905,63.68436622619629,229.99953842163086,583.8498718261723,77855.10372039731,0.0
2,127.51469535604355,85.56127548217773,44.18193473815918,58.850769996643066,134.93925094604492,224.6515533447266,395.52667070084107,0.9998762073920101
3,96.75450032721173,77.6989517211914,44.91139259338379,57.060707092285156,111.52215957641602,163.24844360351568,123.72611702130766,0.9167995129925518
4,85.61006841476332,73.35604095458984,45.620208740234375,56.222923278808594,99.81104278564453,137.20310363769534,98.54093171105346,0.45428202396530115
5,79.83707082308194,70.87165069580078,46.34716873168945,55.96224784851074,92.87211608886719,122.53368835449226,88.16339459988437,0.29342154853686786
6,76.29715919202233,69.30684661865234,46.99388198852539,55.904075622558594,88.38518714904785,113.06183471679691,82.32541820282673,0.2169830696462864
7,73.92849407498232,68.22361755371094,47.56516647338867,55.93309020996094,85.22359085083008,106.56796875,78.61373169110487,0.17048546735172918
8,72.23937357310962,67.42525100708008,48.070652389526366,55.989322662353516,82.88058471679688,101.82238540649415,76.06666337103194,0.1387117414867237
9,70.97258867343363,66.81290435791016,48.52964553833008,56.08027362823486,81.05847549438477,98.17984771728518,74.19558369130147,0.1175654369086022
10,69.98978306698595,66.32768630981445,48.940284729003906,56.17184066772461,79.59031677246094,95.31447830200197,72.77388114825408,0.10135342932278722
11,69.19788361788792,65.9283676147461,49.31457710266113,56.27216720581055,78.38407897949219,92.92456741333008,71.6445219993123,0.08919335921037023
12,68.55142970328097,65.6015510559082,49.65571746826172,56.366196632385254,77.36831092834473,90.95219345092774,70.73194753940493,0.07967194500392982
13,68.01507007366635,65.3270378112793,49.962762451171876,56.46599102020264,76.50930595397949,89.28068389892579,69.98156544303777,0.07172459361977834
14,67.55873719908972,65.09360122680664,50.251365661621094,56.56039237976074,75.76261138916016,87.82704467773439,69.34813462906973,0.06536996599467748
15,67.16843113286396,64.88965606689453,50.523582458496094,56.651947021484375,75.11012077331543,86.55747680664064,68.81095670690443,0.05993700025743596
16,66.83011173591369,64.71007537841797,50.771968841552734,56.735435485839844,74.53255462646484,85.44472961425782,68.34774775914116,0.05540532941372619
17,66.5327769003065,64.55355834960938,51.005543899536136,56.81934356689453,74.01791763305664,84.45217285156252,67.94218088506061,0.051487824721201954
18,66.27300676783557,64.41864395141602,51.22388114929199,56.89698886871338,73.5618953704834,83.57569885253906,67.58966295498023,0.04802810053915481
19,66.03923672008473,64.29440689086914,51.42744903564453,56.97676181793213,73.14160537719727,82.79043426513672,67.27314411926969,0.045122675874716814
20,65.83268103511121,64.18681716918945,51.62042999267578,57.05197715759277,72.76278495788574,82.07382202148438,66.99415915390045,0.04245406503693919
21,65.6456012248622,64.0833511352539,51.79398078918457,57.122254371643066,72.41761779785156,81.40975875854492,66.74307305729869,0.04007130908833105
22,65.47647682460314,63.99256134033203,51.96729354858398,57.18898010253906,72.09932136535645,80.81240768432617,66.51646363163364,0.037979560104246565
23,65.32254066629159,63.908451080322266,52.12557373046875,57.256282806396484,71.81074905395508,80.25602493286134,66.310517587652,0.03616431776431631
24,65.18251369806941,63.83108901977539,52.27376174926758,57.31829071044922,71.5378475189209,79.74746627807617,66.12385444524368,0.034411322115172706
25,65.05471416025348,63.76266860961914,52.42540817260742,57.37728977203369,71.29067993164062,79.28684844970704,65.95332643359589,0.0328428882872398
26,64.9368025398096,63.69746780395508,52.56365127563477,57.43498420715332,71.05702209472656,78.8514404296875,65.79627739036776,0.03143452711425011
27,64.82864696771978,63.637176513671875,52.699715042114256,57.49300003051758,70.83810043334961,78.44671630859375,65.65244265172618,0.030060369614675495
28,64.72725700586862,63.583526611328125,52.819461822509766,57.543399810791016,70.63295555114746,78.05365753173828,65.5184767581889,0.028862812440218658
29,64.63369439725325,63.53597640991211,52.94147491455078,57.5991096496582,70.4460506439209,77.68901596069337,65.39434025121649,0.027822753051994654
30,64.54498350149237,63.48568344116211,53.05732612609863,57.648162841796875,70.26689910888672,77.34796676635743,65.27741755815487,0.026843467888039197
31,64.46327602252148,63.440738677978516,53.170739364624026,57.69626808166504,70.09354209899902,77.0317611694336,65.16961824645058,0.025854919545764212
32,64.38759756224607,63.399078369140625,53.2840461730957,57.743306159973145,69.93301963806152,76.73149795532227,65.06953305966597,0.024936512968506765
33,64.31628203220303,63.35811996459961,53.38921775817871,57.78548049926758,69.78508377075195,76.44146728515625,64.97543447232877,0.024140998688279788
