epoch,step,effective_epoch,epsilon_spent,test_loss,test_accuracy,elapsed_seconds,eval_seconds
1,98,1.00352,nan,0.9006247924804688,0.6935,152.36150979436934,10.968594283796847
2,196,2.00704,nan,0.47080718688964845,0.8392,223.57159597054124,11.08935772255063
3,293,3.00032,nan,0.39101385345458983,0.8728,292.97633782587945,10.145623399876058
4,391,4.00384,nan,0.3659699935913086,0.8922,368.35781832877547,12.219696032814682
5,488,4.99712,nan,0.3594815200805664,0.8996,440.4261709218845,12.244485662318766
