epoch,step,effective_epoch,epsilon_spent,test_loss,test_accuracy,elapsed_seconds,eval_seconds
1,98,1.00352,nan,0.6354392669677734,0.7987,149.91473888326436,10.08409695327282
2,196,2.00704,nan,0.34533516159057615,0.8862,220.90872747637331,10.311506695114076
3,293,3.00032,nan,0.3057494773864746,0.9054,292.6028211368248,10.184699098579586
4,391,4.00384,nan,0.31300485763549807,0.9115,364.04855168703943,10.055462703108788
5,488,4.99712,nan,0.31810662231445314,0.9134,431.30017831362784,10.09765397477895
