seed,condition,final_test_loss,final_test_accuracy,best_test_loss,best_test_accuracy
0,continuous,0.3769325553894043,0.8797,0.3769325553894043,0.8797
0,seg97,0.34337576751708987,0.8937,0.34337576751708987,0.8937
0,seg16,0.3502837471008301,0.9006,0.3502837471008301,0.9006
1,continuous,0.3690012313842773,0.8786,0.3690012313842773,0.8786
1,seg97,0.34255853424072263,0.8977,0.34255853424072263,0.8977
1,seg16,0.3594815200805664,0.8996,0.3594815200805664,0.8996
2,continuous,0.28703963165283203,0.911,0.28703963165283203,0.911
2,seg97,0.28984959259033205,0.9173,0.28984959259033205,0.9173
2,seg16,0.31810662231445314,0.9134,0.3057494773864746,0.9134
