strategy_a,strategy_b,ratio_difference,ci95_low,ci95_high
sgd,sgd_wd,-1.7322435692412874e-05,-2.2376474318464012e-05,-1.0093974520120064e-05
sgd,momentum,0.10763031995843575,0.05993807614529889,0.14299536713361805
sgd,momentum_wd,0.10761887477538723,0.05992842173412105,0.14297974234959293
sgd,adam_momentum,0.012051562001238025,0.006716048953428366,0.015612498381762485
sgd,adam_momentum_wd,0.012054077193232371,0.006718111678388983,0.015615790200192103
sgd_wd,momentum,0.10764764239412816,0.05994817011981901,0.1430177436079365
sgd_wd,momentum_wd,0.10763619721107964,0.05993851570864117,0.1430021188239114
sgd_wd,adam_momentum,0.012068884436930438,0.0067300399058893845,0.01563487485608095
sgd_wd,adam_momentum_wd,0.012071399628924784,0.006732102630850001,0.015638166674510567
momentum,momentum_wd,-1.1445183048519603e-05,-1.562478402511447e-05,-3.46614196145012e-06
momentum,adam_momentum,-0.09557875795719772,-0.12738286875185556,-0.05005239198643252
momentum,adam_momentum_wd,-0.09557624276520338,-0.12737957693342594,-0.05005106041774687
momentum_wd,adam_momentum,-0.0955673127741492,-0.12736724396783045,-0.05004273757525468
momentum_wd,adam_momentum_wd,-0.09556479758215486,-0.12736395214940083,-0.050041406006569034
adam_momentum,adam_momentum_wd,2.515191994345578e-06,1.331568685647433e-06,3.291818429618232e-06
