strategy,samples,window,metric,start_step,end_step,correlated_energy,matched_iid_energy,ratio,gain
sgd,3,early,trajectory,1,5,0.0031366915168308685,0.003913984920864872,0.8014061321773704,0.19859386782262956
sgd,3,early,endpoint,1,5,0.0009591522503216901,0.0013098302293180115,0.7322721898250061,0.2677278101749939
sgd,3,late,trajectory,6,10,0.008502414315637613,0.013081230936254126,0.6499705079033121,0.3500294920966879
sgd,3,late,endpoint,6,10,0.0023520578611993114,0.0037628229328437283,0.6250780074367622,0.37492199256323777
sgd,3,full,trajectory,1,10,0.011639105832468482,0.016995215857119,0.684846013744101,0.31515398625589897
sgd,3,full,endpoint,1,10,0.0023520578611993114,0.0037628229328437283,0.6250780074367622,0.37492199256323777
sgd_wd,3,early,trajectory,1,5,0.0031367291823346795,0.0039139791067224535,0.8014169459788866,0.19858305402111343
sgd_wd,3,early,endpoint,1,5,0.0009591701305335962,0.001309827133875028,0.7322875711819783,0.2677124288180217
sgd_wd,3,late,trajectory,6,10,0.008502640802466795,0.013081192586547828,0.6499897273288805,0.3500102726711195
sgd_wd,3,late,endpoint,6,10,0.002352125635034437,0.003762811092533776,0.6250979858387148,0.3749020141612852
sgd_wd,3,full,trajectory,1,10,0.011639369984801475,0.01699517169327028,0.6848633361797934,0.31513666382020655
sgd_wd,3,full,endpoint,1,10,0.002352125635034437,0.003762811092533776,0.6250979858387148,0.3749020141612852
momentum,3,early,trajectory,1,5,0.0027396195076415716,0.003942183722508872,0.6949497284966799,0.3050502715033201
momentum,3,early,endpoint,1,5,0.0008089483822846535,0.0013299741454936736,0.6082436903195435,0.3917563096804565
momentum,3,late,trajectory,6,10,0.007243362452096615,0.013352879573959848,0.54245695933799,0.45754304066201
momentum,3,late,endpoint,6,10,0.0019855295066440676,0.003844845153519086,0.5164133865902933,0.48358661340970666
momentum,3,full,trajectory,1,10,0.009982981959738187,0.01729506329646872,0.5772156937856652,0.4227843062143348
momentum,3,full,endpoint,1,10,0.0019855295066440676,0.003844845153519086,0.5164133865902933,0.48358661340970666
momentum_wd,3,early,trajectory,1,5,0.0027397305335202945,0.003942187493360596,0.6949772272715412,0.3050227727284588
momentum_wd,3,early,endpoint,1,5,0.0008089789731153205,0.0013299731765688144,0.6082671345315385,0.39173286546846153
momentum_wd,3,late,trajectory,6,10,0.007243438268313546,0.013352856567925196,0.5424635718557,0.45753642814429996
momentum_wd,3,late,endpoint,6,10,0.00198555181483851,0.0038448386573968125,0.516420061221203,0.483579938778797
momentum_wd,3,full,trajectory,1,10,0.009983168801833841,0.01729504406128579,0.5772271389687138,0.4227728610312862
momentum_wd,3,full,endpoint,1,10,0.00198555181483851,0.0038448386573968125,0.516420061221203,0.483579938778797
adam_momentum,3,early,trajectory,1,5,0.003066714889360544,0.003914392054488091,0.7834460234621534,0.21655397653784658
adam_momentum,3,early,endpoint,1,5,0.0009360664892485443,0.0013113008975717312,0.7138456863576876,0.28615431364231236
adam_momentum,3,late,trajectory,6,10,0.008384208277192978,0.013105550866994232,0.6397448197548298,0.3602551802451702
adam_momentum,3,late,endpoint,6,10,0.002319287060991333,0.0037701759775958504,0.6151667918881298,0.38483320811187016
adam_momentum,3,full,trajectory,1,10,0.011450923166553521,0.017019942921482324,0.6727944517428629,0.3272055482571371
adam_momentum,3,full,endpoint,1,10,0.002319287060991333,0.0037701759775958504,0.6151667918881298,0.38483320811187016
adam_momentum_wd,3,early,trajectory,1,5,0.003066710322571911,0.00391439287156318,0.7834446932628011,0.21655530673719892
adam_momentum_wd,3,early,endpoint,1,5,0.0009360640931478931,0.0013113013133851,0.7138436327280577,0.28615636727194227
adam_momentum_wd,3,late,trajectory,6,10,0.008384174007342673,0.013105555953356782,0.6397419565550898,0.3602580434449102
adam_momentum_wd,3,late,endpoint,6,10,0.002319276747468978,0.0037701775425796787,0.6151638009816517,0.3848361990183483
adam_momentum_wd,3,full,trajectory,1,10,0.011450884329914583,0.017019948824919962,0.6727919365508687,0.32720806344913134
adam_momentum_wd,3,full,endpoint,1,10,0.002319276747468978,0.0037701775425796787,0.6151638009816517,0.3848361990183483
