seed,window_index,start_step,end_step,mean_p_relative_change,C_momentum,C_frozen_p,C_dynamic_clean_p,C_real_adamw,delta_p_cancellation,extra_real_effect
0,0,1,16,0.08654005825519562,1.2366875410079956,1.2280611991882324,1.130189061164856,7.874017238616943,-0.09787213802337646,6.743828177452087
0,1,17,32,0.006175250746309757,1.27951979637146,1.2494208812713623,1.2490745782852173,13.421380043029785,-0.00034630298614501953,12.172305464744568
0,2,33,48,0.0031971638090908527,1.287572979927063,1.311686635017395,1.3117913007736206,13.768668174743652,0.00010466575622558594,12.456876873970032
0,3,49,64,0.001881610369309783,1.2864928245544434,1.2944653034210205,1.2947123050689697,13.463947296142578,0.00024700164794921875,12.169234991073608
0,4,65,80,0.0016027252422645688,1.2876777648925781,1.2568717002868652,1.257001519203186,12.614930152893066,0.00012981891632080078,11.35792863368988
0,5,81,96,0.0011206775670871139,1.2862766981124878,1.2982028722763062,1.2981706857681274,11.684802055358887,-3.218650817871094e-05,10.38663136959076
0,6,97,112,0.0009244179236702621,1.2877436876296997,1.3001621961593628,1.300059199333191,11.73069953918457,-0.000102996826171875,10.43064033985138
0,7,113,128,0.0008071803604252636,1.2882424592971802,1.265862226486206,1.2660311460494995,11.290448188781738,0.00016891956329345703,10.024417042732239
0,8,129,144,0.0007018820033408701,1.2871280908584595,1.2622954845428467,1.2622184753417969,11.033895492553711,-7.700920104980469e-05,9.771677017211914
0,9,145,160,0.0006342466804198921,1.2867107391357422,1.3037328720092773,1.3038479089736938,10.75098705291748,0.0001150369644165039,9.447139143943787
0,10,161,176,0.000578850565943867,1.2868249416351318,1.3106300830841064,1.3105738162994385,10.058755874633789,-5.626678466796875e-05,8.74818205833435
0,11,177,192,0.0005436546052806079,1.2876428365707397,1.2745541334152222,1.2746037244796753,10.322823524475098,4.9591064453125e-05,9.048219799995422
0,12,193,208,0.0005145813338458538,1.2861257791519165,1.3257851600646973,1.3258564472198486,9.64460563659668,7.128715515136719e-05,8.318749189376831
0,13,209,224,0.0004760492010973394,1.287649154663086,1.2771762609481812,1.2771810293197632,9.07433032989502,4.76837158203125e-06,7.797149300575256
0,14,225,240,0.0004528358404058963,1.2863006591796875,1.2957007884979248,1.2957441806793213,8.914911270141602,4.3392181396484375e-05,7.61916708946228
0,15,241,256,0.00043152374564670026,1.2874906063079834,1.2992981672286987,1.2992901802062988,9.687859535217285,-7.987022399902344e-06,8.388569355010986
0,16,257,272,0.00042101621511392295,1.2887035608291626,1.2615110874176025,1.261543869972229,9.304610252380371,3.2782554626464844e-05,8.043066382408142
0,17,273,288,0.00041271085501648486,1.2879893779754639,1.2444158792495728,1.244457483291626,9.972187995910645,4.1604042053222656e-05,8.727730512619019
0,18,289,304,0.00038584141293540597,1.2885881662368774,1.3128708600997925,1.3128533363342285,9.332839012145996,-1.7523765563964844e-05,8.019985675811768
0,19,305,320,0.0003798107209149748,1.2887792587280273,1.318772315979004,1.3187652826309204,9.478331565856934,-7.033348083496094e-06,8.159566283226013
0,20,321,336,0.00036121191806159914,1.2874773740768433,1.2842726707458496,1.2843023538589478,9.061551094055176,2.968311309814453e-05,7.777248740196228
0,21,337,352,0.000350671325577423,1.2868109941482544,1.2147094011306763,1.2146908044815063,8.872130393981934,-1.8596649169921875e-05,7.657439589500427
0,22,353,368,0.00036899358383379877,1.2879093885421753,1.2159819602966309,1.2159816026687622,9.147241592407227,-3.5762786865234375e-07,7.931259989738464
0,23,369,384,0.0003629848943091929,1.2870547771453857,1.2892779111862183,1.2893089056015015,9.758134841918945,3.0994415283203125e-05,8.468825936317444
0,24,385,400,0.000374433642718941,1.2868328094482422,1.3026187419891357,1.302638053894043,9.157360076904297,1.9311904907226562e-05,7.854722023010254
0,25,401,416,0.0003556027659215033,1.2874184846878052,1.2685770988464355,1.2686129808425903,8.844915390014648,3.5881996154785156e-05,7.576302409172058
0,26,417,432,0.000381658406695351,1.2879043817520142,1.3245824575424194,1.324489951133728,9.124354362487793,-9.250640869140625e-05,7.799864411354065
0,27,433,448,0.00033339016954414546,1.2881213426589966,1.3061254024505615,1.30612313747406,8.373889923095703,-2.2649765014648438e-06,7.067766785621643
0,28,449,464,0.00031818245770409703,1.2874993085861206,1.274893045425415,1.2748916149139404,8.928054809570312,-1.430511474609375e-06,7.653163194656372
0,29,465,480,0.0002999636344611645,1.2871949672698975,1.2662672996520996,1.2662714719772339,9.052570343017578,4.172325134277344e-06,7.786298871040344
0,30,481,488,0.00030990818049758673,1.564986228942871,1.5535465478897095,1.5535825490951538,5.499422073364258,3.600120544433594e-05,3.945839524269104
