seed,window_index,start_step,end_step,mean_p_relative_change,C_momentum,C_frozen_p,C_dynamic_clean_p,C_real_adamw,delta_p_cancellation,extra_real_effect
1,0,1,16,0.08724609762430191,1.2354862689971924,1.2483187913894653,1.172267198562622,7.704418659210205,-0.07605159282684326,6.532151460647583
1,1,17,32,0.007094179280102253,1.2804392576217651,1.2980209589004517,1.2977209091186523,13.525591850280762,-0.0003000497817993164,12.22787094116211
1,2,33,48,0.003634484251961112,1.286940336227417,1.2552685737609863,1.255674958229065,13.810552597045898,0.0004063844680786133,12.554877638816833
1,3,49,64,0.0029529316816478968,1.2881486415863037,1.2639491558074951,1.2634626626968384,13.307107925415039,-0.0004864931106567383,12.0436452627182
1,4,65,80,0.0015988503582775593,1.2876181602478027,1.288435459136963,1.2884299755096436,12.980998039245605,-5.4836273193359375e-06,11.692568063735962
1,5,81,96,0.0011759570334106684,1.286422848701477,1.2850252389907837,1.2847275733947754,12.725672721862793,-0.0002976655960083008,11.440945148468018
1,6,97,112,0.00099197740200907,1.288249135017395,1.268202304840088,1.2682037353515625,12.403602600097656,1.430511474609375e-06,11.135398864746094
1,7,113,128,0.0008324999362230301,1.2869702577590942,1.3074955940246582,1.3075664043426514,11.707676887512207,7.081031799316406e-05,10.400110483169556
1,8,129,144,0.000775534485001117,1.2866791486740112,1.3191601037979126,1.3192399740219116,11.014305114746094,7.987022399902344e-05,9.695065140724182
1,9,145,160,0.0006674883770756423,1.2868856191635132,1.334275484085083,1.3342124223709106,10.69393539428711,-6.306171417236328e-05,9.359722971916199
1,10,161,176,0.0006144501385279,1.2864890098571777,1.272338628768921,1.2723792791366577,10.482242584228516,4.0650367736816406e-05,9.209863305091858
1,11,177,192,0.0005511081544682384,1.2888028621673584,1.2291266918182373,1.2292110919952393,10.356246948242188,8.440017700195312e-05,9.127035856246948
1,12,193,208,0.000516757310833782,1.287605881690979,1.263954520225525,1.263961672782898,9.42093563079834,7.152557373046875e-06,8.156973958015442
1,13,209,224,0.00047764391638338566,1.287233591079712,1.3010927438735962,1.3010584115982056,9.393362045288086,-3.4332275390625e-05,8.09230363368988
1,14,225,240,0.00045706017408519983,1.288219690322876,1.3461586236953735,1.3460408449172974,9.38060188293457,-0.00011777877807617188,8.034561038017273
1,15,241,256,0.00043319870019331574,1.2879835367202759,1.3080283403396606,1.3080700635910034,9.560375213623047,4.172325134277344e-05,8.252305150032043
1,16,257,272,0.0004759150033351034,1.2867587804794312,1.2593239545822144,1.2593201398849487,9.802291870117188,-3.814697265625e-06,8.542971730232239
1,17,273,288,0.0005596229457296431,1.2864612340927124,1.2768646478652954,1.2768220901489258,9.649820327758789,-4.2557716369628906e-05,8.372998237609863
1,18,289,304,0.0007255597738549113,1.2880598306655884,1.290177345275879,1.2901649475097656,8.490062713623047,-1.239776611328125e-05,7.199897766113281
1,19,305,320,0.0005569892819039524,1.286238670349121,1.293411374092102,1.293478012084961,8.672952651977539,6.663799285888672e-05,7.379474639892578
1,20,321,336,0.0004722182056866586,1.288972020149231,1.381543517112732,1.3815135955810547,9.13930606842041,-2.9921531677246094e-05,7.7577924728393555
1,21,337,352,0.0005663485499098897,1.2878737449645996,1.2692811489105225,1.2691340446472168,9.366599082946777,-0.00014710426330566406,8.09746503829956
1,22,353,368,0.0006531788385473192,1.2856818437576294,1.240643858909607,1.2406320571899414,9.197202682495117,-1.1801719665527344e-05,7.956570625305176
1,23,369,384,0.0004273289523553103,1.2878108024597168,1.258337378501892,1.2583560943603516,9.371810913085938,1.8715858459472656e-05,8.113454818725586
1,24,385,400,0.00042507529724389315,1.2870296239852905,1.2502392530441284,1.2502996921539307,9.330778121948242,6.0439109802246094e-05,8.080478429794312
1,25,401,416,0.0004921007785014808,1.2864183187484741,1.2294692993164062,1.229520320892334,8.94855785369873,5.1021575927734375e-05,7.7190375328063965
1,26,417,432,0.0004315774131100625,1.287247657775879,1.2524768114089966,1.2525502443313599,8.42820930480957,7.343292236328125e-05,7.1756590604782104
1,27,433,448,0.00033676353632472456,1.2869656085968018,1.3235481977462769,1.3235204219818115,9.15656566619873,-2.777576446533203e-05,7.833045244216919
1,28,449,464,0.0003631689469330013,1.287240743637085,1.2947089672088623,1.2947235107421875,9.415851593017578,1.4543533325195312e-05,8.12112808227539
1,29,465,480,0.00030783828697167337,1.287584900856018,1.2598991394042969,1.25993812084198,8.804622650146484,3.898143768310547e-05,7.544684529304504
1,30,481,488,0.00028136096079833806,1.566778540611267,1.6087960004806519,1.6087853908538818,5.443424701690674,-1.0609626770019531e-05,3.834639310836792
