window_index,start_step,end_step,num_seeds,mean_p_relative_change_mean,mean_p_relative_change_std,C_momentum_mean,C_momentum_std,C_frozen_p_mean,C_frozen_p_std,C_dynamic_clean_p_mean,C_dynamic_clean_p_std,C_real_adamw_mean,C_real_adamw_std,delta_p_cancellation_mean,delta_p_cancellation_std,extra_real_effect_mean,extra_real_effect_std
10,161,176,3,0.0006107450268852214,3.021277796650825e-05,1.286957025527954,0.0005461704445805385,1.2949843804041545,0.02008256413970187,1.294965386390686,0.020030518044245445,10.130229632059732,0.32227616750399385,-1.899401346842448e-05,5.218812420702939e-05,8.835264245669046,0.33953918360535573
11,177,192,3,0.0006039191115026673,9.799711292622438e-05,1.287933309872945,0.0007667556361807556,1.275232990582784,0.04644944805060284,1.2753305037816365,0.0464870625613409,10.115205446879068,0.38890981558444626,9.751319885253906e-05,5.564967477852572e-05,8.839874943097433,0.4309262916016376
12,193,208,3,0.000548606738448143,5.705965175710297e-05,1.2869054476420085,0.0007432257086711161,1.2704761028289795,0.052353798968896754,1.2704766194025676,0.05242683698729845,9.563279469807943,0.12369088533880383,5.165735880533854e-07,7.431112922916094e-05,8.292802850405375,0.12489370692645466
13,209,224,3,0.000527176462734739,8.717759739440141e-05,1.2873435815175374,0.0002680722283767096,1.2717524766921997,0.03239450560104153,1.2717658281326294,0.03234200183572262,9.476804415384928,0.450034898884691,1.33514404296875e-05,5.2504080232623304e-05,8.205038587252298,0.4744114456173795
14,225,240,3,0.00047793199579852325,3.986542911055146e-05,1.2872002124786377,0.0009651199689954267,1.3002859354019165,0.043760645432778224,1.300230860710144,0.0437395725791197,9.159432093302408,0.23372182137321848,-5.507469177246094e-05,8.633222015916355e-05,7.859201232592265,0.21511650469503724
15,241,256,3,0.00044632354790034395,2.419795290417859e-05,1.287615458170573,0.0003242136854511922,1.283900539080302,0.03450722617130273,1.2839311361312866,0.03448679319074115,9.388855616251627,0.41244072014380606,3.059705098470052e-05,3.439809474736531e-05,8.10492448012034,0.3794459758565854
16,257,272,3,0.00044409112888388336,2.8475910376846168e-05,1.2877495686213176,0.0009729121788460003,1.2780787547429402,0.0306096948610718,1.2780858278274536,0.03059752657828264,9.319822311401367,0.47504623609084373,7.0730845133463544e-06,2.235176828170902e-05,8.041736483573914,0.5019015175248492
17,273,288,3,0.00047716535239790875,7.50924376836634e-05,1.2871891260147095,0.0007666374064734917,1.2587276299794514,0.01655914091310465,1.2587177753448486,0.016521178149233474,9.61431884765625,0.3768760629276723,-9.854634602864584e-06,4.510686921019794e-05,8.355601072311401,0.38112593599693284
18,289,304,3,0.0005158904241397977,0.00018332127512888483,1.287888487180074,0.0007992464081192595,1.284401774406433,0.03175328772102431,1.2844213644663494,0.031696485009914545,8.991827011108398,0.44378930580617953,1.9590059916178387e-05,5.9898644797758584e-05,7.707405646642049,0.44343398080774094
19,305,320,3,0.0004605368885677308,8.963005215449045e-05,1.2873260577519734,0.0013092028129790309,1.3033146460851033,0.013562184388174301,1.3033249378204346,0.013539803012882802,9.061548868815104,0.40342862687235936,1.0291735331217447e-05,4.9988555099416584e-05,7.75822393099467,0.3905362695167472
20,321,336,3,0.00048143464179399115,0.000125085854708215,1.287761886914571,0.0010959341037846933,1.3113164107004802,0.06135150154798424,1.311314066251119,0.06133022931781577,9.086950620015463,0.045347826031316166,-2.3444493611653647e-06,3.00505157997177e-05,7.775636553764343,0.01709509824458308
21,337,352,3,0.00048802056699059904,0.00011933900447712317,1.2868311802546184,0.0010326196450104596,1.2455257972081502,0.02796270149122137,1.2454777161280315,0.02791326766498743,9.198499997456869,0.28268708626162814,-4.80810801188151e-05,8.806406911915918e-05,7.953022281328837,0.2560040211194131
22,353,368,3,0.0005405683865925918,0.00015098977034374154,1.286942998568217,0.0011426520351682755,1.2466621001561482,0.03409003802657495,1.2466741800308228,0.0341172958523268,8.893960316975912,0.48261055710926043,1.2079874674479166e-05,3.1969507473042184e-05,7.647286136945088,0.5139326333084099
23,369,384,3,0.0004350733070168644,7.625609818783153e-05,1.287527600924174,0.00041214198442699075,1.3054589827855427,0.05696271342866513,1.3054680824279785,0.056938118701141134,9.119322776794434,0.7956906316404733,9.099642435709635e-06,2.797137025874373e-05,7.813854694366455,0.8455631424317157
24,385,400,3,0.00040587843977846205,2.7452746884082658e-05,1.2866745392481487,0.00045533938901268716,1.2744375864664714,0.02641590182914721,1.2744566202163696,0.02640025589828634,8.887310345967611,0.6239782681270594,1.903374989827474e-05,4.154513578315934e-05,7.612853725751241,0.6247213202488696
25,401,416,3,0.000417194872473677,6.921610941051867e-05,1.2870287497838337,0.0005353625531887988,1.258551041285197,0.025586995274951837,1.2585831483205159,0.0255685390043806,8.7401974995931,0.27604153757504063,3.2107035319010414e-05,2.105734612374752e-05,7.481614351272583,0.29633888607161196
26,417,432,3,0.00042488324106670916,4.0296944895984795e-05,1.287595232327779,0.0003300438804686275,1.2563953797022502,0.06631468193858804,1.2563998301823933,0.06624926502371507,8.731691678365072,0.3565379799924594,4.450480143229167e-06,8.643432561930141e-05,7.475291848182678,0.31284912388524827
27,433,448,3,0.00035674515917586785,3.756848928259731e-05,1.2871673901875813,0.0008707761370676247,1.3004686832427979,0.026366964082151553,1.3004850546518962,0.026311431636814122,8.973910649617514,0.532720312721535,1.6371409098307293e-05,5.584829049804065e-05,7.673425594965617,0.5437149796075351
28,449,464,3,0.00034285230018819374,2.2806989896608522e-05,1.2872509161631267,0.00024346559858721045,1.264302651087443,0.036860756780081126,1.2643355528513591,0.03681895708048407,8.999322573343912,0.3858632226639931,3.2901763916015625e-05,4.632504281975447e-05,7.734987020492554,0.3524266151721935
29,465,480,3,0.0003267941453183691,3.98471610243091e-05,1.287495533625285,0.00026733098041047034,1.2732340494791667,0.017867747824386167,1.2732529242833455,0.017860048493099252,8.90053653717041,0.13316004868792303,1.88748041788737e-05,1.8022825615783555e-05,7.627283612887065,0.1377459485252753
30,481,488,3,0.0003395536817455043,7.739768017798718e-05,1.5658170382181804,0.0009032750397541789,1.5525194803873699,0.056797018992166465,1.5525144735972087,0.05681248544242209,5.570365269978841,0.17364450673042522,-5.0067901611328125e-06,3.85134571625119e-05,4.017850796381633,0.22791525593194067
