strategy,workload_type,seed,sensitivity_squared,strategy_objective,epsilon,delta,adjacency,calibrated_noise_stddev,calibrated_noise_multiplier,epoch,step,effective_epoch,epsilon_spent,train_loss,test_loss,test_accuracy,elapsed_seconds,eval_seconds
adam_momentum,adam_momentum,4,24.511695861816406,85.02693176269531,3.0,1e-05,add_remove,0.013446736673377351,1.390593456674537,1,98,1.00352,1.3458522909037829,0.4420664453125,0.47339490966796877,0.876,218.77055975422263,69.1891837157309
adam_momentum,adam_momentum,4,24.511695861816406,85.02693176269531,3.0,1e-05,add_remove,0.013446736673377351,1.390593456674537,2,196,2.00704,1.9204375588577811,0.40063813415527344,0.46462909240722655,0.8937,341.4693647045642,64.12957807164639
adam_momentum,adam_momentum,4,24.511695861816406,85.02693176269531,3.0,1e-05,add_remove,0.013446736673377351,1.390593456674537,3,293,3.00032,2.3586966704221632,0.37393352630615234,0.4632291961669922,0.9009,462.18783666100353,61.869748724624515
adam_momentum,adam_momentum,4,24.511695861816406,85.02693176269531,3.0,1e-05,add_remove,0.013446736673377351,1.390593456674537,4,391,4.00384,2.767221574419006,0.3762096267700195,0.48596611938476564,0.9024,583.6517349956557,63.12520425114781
adam_momentum,adam_momentum,4,24.511695861816406,85.02693176269531,3.0,1e-05,add_remove,0.013446736673377351,1.390593456674537,5,488,4.99712,2.9999999999999867,0.3562232078552246,0.46264953231811523,0.9083,704.9771209144965,62.25307917036116
