strategy,workload_type,seed,sensitivity_squared,strategy_objective,epsilon,delta,adjacency,calibrated_noise_stddev,calibrated_noise_multiplier,epoch,step,effective_epoch,epsilon_spent,train_loss,test_loss,test_accuracy,elapsed_seconds,eval_seconds
sgd,sgd,3,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,1,98,1.00352,1.3365104658900253,0.5260198510742188,0.5504280944824219,0.8503,273.51099710538983,114.32789946906269
sgd,sgd,3,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,2,196,2.00704,1.9128706270205869,0.42728845977783203,0.4698931991577148,0.8849,408.38409758452326,69.56837892532349
sgd,sgd,3,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,3,293,3.00032,2.3527098704470837,0.3928615490722656,0.4654822937011719,0.8962,538.2608139207587,66.30027890950441
sgd,sgd,3,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,4,391,4.00384,2.761570169237622,0.3889724171447754,0.4635514358520508,0.9034,669.2597684115171,68.35640798974782
sgd,sgd,3,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,5,488,4.99712,2.9999999999999867,0.38221949447631837,0.4810188034057617,0.9035,804.0263761272654,74.55881559569389
