target_r,stage,J,D,R,delta_R
0.01,linear,7.182399481246242e-16,1.1389855630553312e-16,6.305961826223188,
0.01,bf16,7.247621434012662e-16,1.204429444472418e-16,6.01747281027937,-0.28848901594381715
0.01,norm,1.2597092221725839e-08,2.5463789308680454e-09,4.947061126299676,-1.0704116839796942
0.01,ns,0.0010912383253561227,0.00024372029935788167,4.477420749240653,-0.4696403770590232
0.01,scale,0.008380787615535486,0.0018717868248039763,4.477426331074409,5.581833756096444e-06
0.1,linear,7.18239930080412e-14,1.1389855344489329e-14,6.305961826178177,
0.1,bf16,7.18299277239973e-14,1.1396585500410467e-14,6.30275863954254,-0.003203186635637678
0.1,norm,1.2404297926736443e-06,2.3554601021801876e-07,5.266188934915587,-1.0365697046269524
0.1,ns,0.013090004771956992,0.002603861176708357,5.0271515582503445,-0.23903737666524272
0.1,scale,0.10053220203905978,0.019997802616983883,5.027162432020359,1.087377001418588e-05
1.0,linear,7.182399878227926e-12,1.1389856260123916e-12,6.305961826202875,
1.0,bf16,7.182292500026486e-12,1.1389802474533627e-12,6.305897328847729,-6.449735514557631e-05
1.0,norm,9.874388838216575e-05,1.2493738335997934e-05,7.903470180550936,1.597572851703207
1.0,ns,0.0278315413430345,0.004120324248802089,6.754696878801718,-1.1487733017492188
1.0,scale,0.21374812559876938,0.0316442759724275,6.754716896825632,2.0018023914047944e-05
