target_r,stage,prefix,J_k,D_k,R_k
0.01,linear,1,4.485279540863614e-20,4.485279540863614e-20,1.0
0.01,linear,2,7.631181722200851e-20,9.090108386649454e-20,0.8395039308231668
0.01,linear,3,1.1638248612773395e-19,1.3746852723597488e-19,0.8466118643138936
0.01,linear,4,1.74568367901039e-19,1.8571844414521975e-19,0.9399624722493254
0.01,linear,5,2.4911170235612686e-19,2.349927418016995e-19,1.0600825389166348
0.01,linear,6,3.409504680759712e-19,2.851663827097917e-19,1.1956194304394916
0.01,linear,7,4.509343869850992e-19,3.361221068078539e-19,1.3415790804943348
0.01,linear,8,5.796822774902878e-19,3.878233928141631e-19,1.4947068388111893
0.01,linear,9,7.275012578845361e-19,4.40186183691334e-19,1.6527126130670933
0.01,linear,10,8.949724847906346e-19,4.931719143481436e-19,1.8147271950260513
0.01,linear,11,1.0819565295636638e-18,5.466938173297326e-19,1.9790904803869278
0.01,linear,12,1.2885667680830488e-18,6.007109024947117e-19,2.1450697211116334
0.01,linear,13,1.5147037580009033e-18,6.551569020288255e-19,2.3119710000922185
0.01,linear,14,1.7602955683558987e-18,7.1001252359953765e-19,2.479245801794819
0.01,linear,15,2.0248103216990348e-18,7.652013940930912e-19,2.646114261329619
0.01,linear,16,2.3085769206593263e-18,8.207362270742697e-19,2.812812258682496
0.01,linear,17,2.6107162560871882e-18,8.765608830179779e-19,2.978362720337868
0.01,linear,18,2.9310812451532194e-18,9.326499776319817e-19,3.1427452050074534
0.01,linear,19,3.2689684909949275e-18,9.889707777419353e-19,3.3054247552782
0.01,linear,20,3.624439188292389e-18,1.0455242220588418e-18,3.466623835031922
0.01,linear,21,3.9964960373711605e-18,1.102257444636334e-18,3.625737396302837
0.01,linear,22,4.38489344656052e-18,1.1591552702025447e-18,3.782835276066447
0.01,linear,23,4.789422348800219e-18,1.2162542932192048e-18,3.937846201655318
0.01,linear,24,5.209018879385884e-18,1.2734809363195983e-18,4.09037837224334
0.01,linear,25,5.643366399019998e-18,1.3308212678725397e-18,4.240514136087954
0.01,linear,26,6.092015451848836e-18,1.388280991687107e-18,4.388171766614423
0.01,linear,27,6.554647521954285e-18,1.4458762887942204e-18,4.5333391056716845
0.01,linear,28,7.03060079541491e-18,1.5035270264407325e-18,4.676072110295418
0.01,linear,29,7.51929258494306e-18,1.5612455085267347e-18,4.816214070033496
0.01,linear,30,8.020712131881615e-18,1.619098988395124e-18,4.9538120827509555
0.01,linear,31,8.533800328833568e-18,1.677009596357074e-18,5.088700951605363
0.01,linear,32,9.058336070860571e-18,1.7349697737060696e-18,5.221033938540068
0.01,linear,33,9.593891316718183e-18,1.7929978256727757e-18,5.350754573903806
0.01,linear,34,1.013986835255777e-17,1.8510772783501626e-18,5.4778201165082
0.01,linear,35,1.0696404361370807e-17,1.9092119042941155e-18,5.602523395812128
0.01,linear,36,1.126204233867536e-17,1.9673734306074097e-18,5.7244050181150925
0.01,linear,37,1.1837213592642903e-17,2.02557068751985e-18,5.84389064552303
0.01,linear,38,1.2421093650607002e-17,2.0837898337215294e-18,5.960818816561572
0.01,linear,39,1.3013855742170385e-17,2.1420552192765308e-18,6.075406285075021
0.01,linear,40,1.3614567835224223e-17,2.200379620752391e-18,6.187372263777329
0.01,linear,41,1.4222607370447455e-17,2.2587020880642583e-18,6.296805340378661
0.01,linear,42,1.4838544276569783e-17,2.3170452652727365e-18,6.404080446319273
0.01,linear,43,1.5461673292205217e-17,2.3754064360562697e-18,6.509064325798161
0.01,linear,44,1.6090909931004465e-17,2.4337495275457922e-18,6.611571876597604
0.01,linear,45,1.672708320373112e-17,2.4921300906313516e-18,6.711962295472911
0.01,linear,46,1.7369757833894434e-17,2.550547555407951e-18,6.8102073992171475
0.01,linear,47,1.8017625521238226e-17,2.60895053161399e-18,6.906081699483923
0.01,linear,48,1.8670797661255844e-17,2.6673913688705546e-18,6.999646875651983
0.01,linear,49,1.9330089320261297e-17,2.7258398240371467e-18,7.091425237023712
0.01,linear,50,1.999447717070829e-17,2.7843109868040252e-18,7.181122103626425
0.01,linear,51,2.0663757946888702e-17,2.8427923005959314e-18,7.268824367702481
0.01,linear,52,2.1337462763581604e-17,2.9012614457052308e-18,7.354546690429325
0.01,linear,53,2.2016175481001567e-17,2.959731462145185e-18,7.438571965932495
0.01,linear,54,2.2698497236599723e-17,3.0181998654851354e-18,7.520541464523339
0.01,linear,55,2.3384774363076306e-17,3.0766915264564383e-18,7.600623644584085
0.01,linear,56,2.4075269301042203e-17,3.1351753565428126e-18,7.679082208527637
0.01,linear,57,2.476939304241762e-17,3.1936883841215173e-18,7.755732577281768
0.01,linear,58,2.546718753712706e-17,3.2522017036901673e-18,7.830752781486545
0.01,linear,59,2.6168091627082526e-17,3.31069612105682e-18,7.904105562768868
0.01,linear,60,2.687181115449688e-17,3.369193742819779e-18,7.975739362500139
0.01,linear,61,2.7578367652269356e-17,3.4276932227879e-18,8.045751430998427
