window_index,start_step,end_step,num_seeds,J_corr_P0_mean,J_corr_P0_std,D_corr_P0_mean,D_corr_P0_std,C_corr_P0_mean,C_corr_P0_std,G_C_corr_P0_mean,G_C_corr_P0_std,G_J_corr_P0_mean,G_J_corr_P0_std,J_corr_P1_mean,J_corr_P1_std,D_corr_P1_mean,D_corr_P1_std,C_corr_P1_mean,C_corr_P1_std,G_C_corr_P1_mean,G_C_corr_P1_std,G_J_corr_P1_mean,G_J_corr_P1_std,J_corr_P2_mean,J_corr_P2_std,D_corr_P2_mean,D_corr_P2_std,C_corr_P2_mean,C_corr_P2_std,G_C_corr_P2_mean,G_C_corr_P2_std,G_J_corr_P2_mean,G_J_corr_P2_std,J_corr_P3_mean,J_corr_P3_std,D_corr_P3_mean,D_corr_P3_std,C_corr_P3_mean,C_corr_P3_std,G_C_corr_P3_mean,G_C_corr_P3_std,G_J_corr_P3_mean,G_J_corr_P3_std,J_iid_P0_mean,J_iid_P0_std,D_iid_P0_mean,D_iid_P0_std,C_iid_P0_mean,C_iid_P0_std,G_C_iid_P0_mean,G_C_iid_P0_std,G_J_iid_P0_mean,G_J_iid_P0_std,J_iid_P1_mean,J_iid_P1_std,D_iid_P1_mean,D_iid_P1_std,C_iid_P1_mean,C_iid_P1_std,G_C_iid_P1_mean,G_C_iid_P1_std,G_J_iid_P1_mean,G_J_iid_P1_std,J_iid_P2_mean,J_iid_P2_std,D_iid_P2_mean,D_iid_P2_std,C_iid_P2_mean,C_iid_P2_std,G_C_iid_P2_mean,G_C_iid_P2_std,G_J_iid_P2_mean,G_J_iid_P2_std,J_iid_P3_mean,J_iid_P3_std,D_iid_P3_mean,D_iid_P3_std,C_iid_P3_mean,C_iid_P3_std,G_C_iid_P3_mean,G_C_iid_P3_std,G_J_iid_P3_mean,G_J_iid_P3_std,A_energy_mean,A_energy_std,B_energy_mean,B_energy_std,I_energy_mean,I_energy_std,AB_dot_mean,AB_dot_std,AI_dot_mean,AI_dot_std,BI_dot_mean,BI_dot_std,reconstruction_error_mean,reconstruction_error_std
0,1,16,3,0.05869118248422941,2.8911751524849745e-05,0.04872037346164385,4.028803430192635e-06,1.2046538194020588,0.0006602779076339085,0.8245932637893376,5.554161375196802e-05,0.9204973707541293,2.3051755081712603e-05,465332426069.3333,20340757704.211285,419216162816.0,13253889081.819118,1.1097251574198406,0.014053549424077142,0.7654983037232896,0.0016335047849577089,0.8471964191253459,0.0021308001457837726,288.8380635579427,0.13703295614934066,239.91491190592447,0.020678189018475752,1.2039187749226887,0.0006263600977830205,0.8155270197185572,5.368036156161839e-05,0.9093178336699955,2.5102950215577325e-05,1409.8508707682292,347.39556597498716,1284.5816853841145,347.45853475485234,1.1024137735366821,0.027480936920402047,0.5993916632874227,0.04914769618049737,0.6568681874643257,0.055404017359495045,0.7382294336954752,0.0002100398192724835,0.10749181360006332,1.8201846167175352e-06,6.867773691813151,0.0018548097769963716,0.8245932637893376,5.554161375196802e-05,0.9204973707541293,2.3051755081712603e-05,3045625430016.0,136631046029.9688,643401689770.6666,20982265572.14748,4.732418378194173,0.06796292054664374,0.7654983037232896,0.0016335047849577089,0.8471964191253459,0.0021308001457837726,3185.1693522135415,0.9018936135390737,488.0542805989583,0.003911174213572881,6.526260534922282,0.0018047742402894495,0.8155270197185572,5.368036156161839e-05,0.9093178336699955,2.5102950215577325e-05,4071.371337890625,347.89206636140096,1495.5391438802083,347.51100685720894,2.7852009932200112,0.4094084895553019,0.5993916632874227,0.04914769618049737,0.6568681874643257,0.055404017359495045,1.6792324263291562e+16,530924914262313.6,73681430.66666667,14575313.297861606,1.6792235858548054e+16,530918977737239.2,-37724305.333333336,65502176.45112325,-1.679228310318831e+16,530923272249994.7,-2616656.6666666665,54445545.25209593,0.0015011195403834183,1.4799221843208063e-05
1,17,32,3,0.006845096902300914,4.1365869873936465e-06,0.005569829760740201,1.177818803966124e-06,1.2289597988128662,0.0006341574885471759,0.874221872004079,7.495926469779305e-05,0.9800366223009278,2.0464448884631582e-05,24474516138.666668,678778656.8827829,20248042154.666668,482908860.8130852,1.2088218530019124,0.024416288415865628,0.8745206633278523,0.002509848382077119,0.979621578456008,0.0006220427267105565,27.240604400634766,0.0164777539581582,22.165415445963543,0.00469071528704607,1.2289687792460124,0.0006340368866147405,0.8742022038230818,7.498862642521703e-05,0.9800329990603531,2.0494312752116787e-05,29.99685287475586,0.0169605305705296,23.62900225321452,0.004349894262820153,1.2694930632909138,0.0007982482735020937,0.8698346003973447,9.190146385363642e-05,0.9779408120068007,2.3438199120546208e-05,0.34288280208905536,0.0001467243647222646,0.035092403491338096,1.0856624282047092e-05,9.770854949951172,0.0014712641872205378,0.874221872004079,7.495926469779305e-05,0.9800366223009278,2.0464448884631582e-05,1201083995477.3333,8476884408.402762,124686693717.33333,2133717000.1787326,9.634057680765787,0.1157596271762779,0.8745206633278523,0.002509848382077119,0.979621578456008,0.0006220427267105565,1364.2816162109375,0.5847408409192338,139.64847310384116,0.04327837603256333,9.76939868927002,0.0014721682954387714,0.8742022038230818,7.498862642521703e-05,0.9800329990603531,2.0494312752116787e-05,1359.8353678385417,0.7512832861829194,139.4284871419271,0.05364488600655237,9.752923011779785,0.0017870159434983845,0.8698346003973447,9.190146385363642e-05,0.9779408120068007,2.3438199120546208e-05,810563407970304.0,19331218922877.758,21813874.666666668,633146.0430622095,810559001154901.4,19331076622976.473,1321567.5,3957503.9590284782,-810561238117034.6,19331153122443.668,-1321243.9479166667,3957199.0919213044,0.0003608159604482353,2.4607407143574683e-06
2,33,48,3,0.005909278988838196,1.3466174068616555e-06,0.00478786804402868,6.423669325734288e-07,1.2342193126678467,0.00044043505898789967,0.8744593014221782,2.951949444773554e-05,0.9802682269115454,1.1731213790285586e-05,21319038293.333332,1264141046.2755308,17396858197.333332,364470254.76301533,1.2247889439264934,0.04758860151443199,0.875225227374679,0.0053468508869488635,0.9804389945717417,0.0009476506784719,23.367608388264973,0.005322904755301272,18.93318049112956,0.0025445477198141786,1.2342146635055542,0.00044062135281626474,0.8744578339265633,2.9538797276013947e-05,0.9802679915004479,1.1740739003227673e-05,24.706035614013672,0.013051008873256189,19.64784304300944,0.0017756681635370702,1.2574427127838135,0.0007595930339219666,0.8720165841318696,6.730430950309728e-05,0.9791013927412388,1.8626422168349098e-05,0.2994804382324219,0.00014612361308862878,0.03046215884387493,1.28002477610145e-05,9.831228574117025,0.0021703996021570546,0.8744593014221782,2.951949444773554e-05,0.9802682269115454,1.1731213790285586e-05,1089692499968.0,29895494352.947556,110988612949.33333,2325085062.7368135,9.81755256652832,0.12092020980701886,0.875225227374679,0.0053468508869488635,0.9804389945717417,0.0009476506784719,1184.2490641276042,0.5783288226950288,120.45975494384766,0.05064891171093638,9.831076622009277,0.002173926281552497,0.8744578339265633,2.9538797276013947e-05,0.9802679915004479,1.1740739003227673e-05,1182.1860758463542,0.6706261487158767,120.32374318440755,0.05856072684039004,9.82504399617513,0.001916063031103456,0.8720165841318696,6.730430950309728e-05,0.9791013927412388,1.8626422168349098e-05,696402573262848.0,14591056123080.47,18851282.0,1275276.0255442741,696398748057600.0,14590941167539.564,-1927987.7916666667,356227.70665356936,-696400649475413.4,14591021165309.455,1927926.9166666667,355929.1019317509,0.000359961180947721,1.2587671148176922e-05
3,49,64,3,0.005758420719454686,2.213151488623463e-06,0.00466573362549146,1.7282078349108367e-07,1.2341940800348918,0.0005033058886962186,0.8744959763617987,6.38523927869189e-05,0.9802744818197918,1.545347998015761e-05,21042359637.333332,1383746577.829183,17108765013.333334,373744406.1666972,1.229404330253601,0.06334414073860206,0.8743660639438318,0.007296260523481078,0.9801525587333182,0.0011634724327304682,22.713616689046223,0.00872400755058083,18.403640111287434,0.0006812154676272457,1.2341915369033813,0.0005031080728786148,0.8744957075770866,6.376117896678779e-05,0.9802744426687976,1.5444324131109048e-05,23.62511380513509,0.012724845253125465,18.892744700113933,0.0026513534161934226,1.2504860162734985,0.0005839984254369103,0.8728051512574123,6.961637968384105e-05,0.9794568743546189,1.6788770099965513e-05,0.29192758599917096,0.00023939468264677456,0.029685835043589275,1.1561671357099669e-05,9.833901405334473,0.004235116242535468,0.8744959763617987,6.38523927869189e-05,0.9802744818197918,1.545347998015761e-05,1060115753642.6666,28690800218.97828,108304717141.33333,2662058816.896395,9.788067181905111,0.07634021601857462,0.8743660639438318,0.007296260523481078,0.9801525587333182,0.0011634724327304682,1151.4820556640625,0.944221150346123,117.09358723958333,0.04559717987090512,9.833860079447428,0.004235345089147061,0.8744957075770866,6.376117896678779e-05,0.9802744426687976,1.5444324131109048e-05,1150.0255940755208,0.7660567013732531,116.9763692220052,0.03092368317299063,9.831263860066732,0.00401066442127814,0.8728051512574123,6.961637968384105e-05,0.9794568743546189,1.6788770099965513e-05,684861638224554.6,14961542682208.814,14502668.666666666,1879875.309361058,684857813019306.6,14961542682208.814,521171.3020833333,1805114.5665640642,-684859624958634.6,14961542682208.814,-520639.5,1804932.8306727374,0.00041471252916380763,3.485249960484713e-05
4,65,80,3,0.005729521469523509,2.0609635327899655e-06,0.004642600969721873,2.3885125755288393e-07,1.2341188589731853,0.00040265916491308875,0.8745353468119434,4.289153602727728e-05,0.9802886602438458,1.5853755146872634e-05,21154685610.666668,211861696.33481845,16944582656.0,182303432.14249492,1.24847678343455,0.0052619453709316965,0.8717795852356782,0.0021304196424406794,0.9797530445027566,0.0007511091803084726,22.56840642293294,0.008121052675405555,18.287081400553387,0.0009368874998202626,1.2341174681981404,0.00040287717834481076,0.8745352651921191,4.288134423734062e-05,0.9802886474299987,1.5855754323242703e-05,23.26960563659668,0.007941359357321896,18.661149342854817,0.0020229564154525545,1.2469546397527058,0.0004584561349073589,0.8732100256906145,4.604654784481867e-05,0.9796524516832309,1.568981025462128e-05,0.2906714379787445,0.00021179231292992075,0.02955062873661518,1.5577206502084604e-05,9.836386998494467,0.002176582810270493,0.8745353468119434,4.289153602727728e-05,0.9802886602438458,1.5853755146872634e-05,1045714348714.6666,37235859401.20065,107362634410.66667,2593827914.4797764,9.738295873006185,0.1210193959156805,0.8717795852356782,0.0021304196424406794,0.9797530445027566,0.0007511091803084726,1144.9449869791667,0.8345352277367509,116.39913177490234,0.061353449106962124,9.836369514465332,0.0021798525025375597,0.8745352651921191,4.288134423734062e-05,0.9802886474299987,1.5855754323242703e-05,1143.6077473958333,0.8760519629624453,116.28167978922527,0.06830125975198043,9.834804852803549,0.0019443399450076253,0.8732100256906145,4.604654784481867e-05,0.9796524516832309,1.568981025462128e-05,678290629066752.0,7298907479636.12,10246137.0,1531772.9074967348,678286736752640.0,7298907479636.12,-831128.015625,760872.0853087974,-678288682909696.0,7298907479636.12,830941.9010416666,760884.9178725377,0.000477849078985552,3.2597177347386945e-05
5,81,96,3,0.005724232643842697,4.156160841859653e-06,0.004638695002843936,4.1445694502048486e-07,1.2340179284413655,0.0009788119805745946,0.8745214858646434,6.396565850873154e-05,0.9802851012554612,1.9596353539989107e-05,20650427733.333332,436315775.3807938,17067418282.666666,224532333.42914295,1.2098496357599895,0.010024690080929946,0.8774313163165615,0.0012971229072312647,0.9807775866197647,0.00031359957924232936,22.527827580769856,0.01635023174476076,18.255690892537434,0.001625137521319838,1.23401673634847,0.0009780958344952253,0.8745214975697385,6.385749188075304e-05,0.9802851030706184,1.9594186837638293e-05,23.093366622924805,0.014990283927346316,18.559295654296875,0.0029804792683263918,1.2443019946416218,0.0009934661762349918,0.8734666352567776,7.34652692548062e-05,0.9797705216804885,1.887690909163816e-05,0.2903508245944977,0.0003978786381999647,0.02952370358010133,2.2550877382544523e-05,9.834495862325033,0.005966782870371504,0.8745214858646434,6.396565850873154e-05,0.9802851012554612,1.9596353539989107e-05,1074377435818.6666,22260712581.06532,108842825045.33333,2270872330.789436,9.870953241984049,0.025530400132158224,0.8774313163165615,0.0012971229072312647,0.9807775866197647,0.00031359957924232936,1142.6813557942708,1.566106778736098,116.19122060139973,0.08877647347489545,9.834487279256185,0.005966225649972866,0.8745214975697385,6.385749188075304e-05,0.9802851030706184,1.9594186837638293e-05,1141.5707600911458,1.3556974439784604,116.08657836914062,0.07499997238628058,9.833785692850748,0.0053267765004558305,0.8734666352567776,7.34652692548062e-05,0.9797705216804885,1.887690909163816e-05,683207919228245.4,8987649772326.447,7883329.0,828920.7873832094,683203892696405.4,8987573383957.033,681723.8645833334,1423889.5797022297,-683205905962325.4,8987636869061.592,-681575.0416666666,1423863.8200296005,0.0005322914803400636,2.5082388935666827e-05
6,97,112,3,0.005725119728595018,2.6846091687137404e-06,0.00463857672487696,5.427066715360482e-07,1.2342406113942463,0.0006998800875334617,0.8744910364629028,8.943489536183021e-05,0.9802749850855011,1.3373052998241035e-05,21148931413.333332,211727605.2277963,17244519082.666668,237849424.8394691,1.2266660531361897,0.028064854797828585,0.8748854110914249,0.004592026011819666,0.9802043608872534,0.0010016971212484023,22.517696380615234,0.010556226823911823,18.244179407755535,0.002137498252331264,1.2342400550842285,0.0007000105195360495,0.8744910565291449,8.942803232069365e-05,0.9802749881815607,1.3368318019917361e-05,22.993435541788738,0.01118892007120383,18.49872398376465,0.0005325602930933521,1.2429741621017456,0.0006228135052694872,0.8735936676989328,7.811218145728122e-05,0.9798369208533037,1.214847442627711e-05,0.2902466952800751,9.55692731349281e-05,0.02951495721936226,6.3323327817270996e-06,9.833884874979654,0.0015459676436519912,0.8744910364629028,8.943489536183021e-05,0.9802749850855011,1.3373052998241035e-05,1069857745578.6666,44480691553.022385,109055333717.33333,3004155037.1059184,9.807699203491211,0.14156479526454915,0.8748854110914249,0.004592026011819666,0.9802043608872534,0.0010016971212484023,1141.5810139973958,0.37576494743318545,116.08650207519531,0.024911606459062915,9.833882013956705,0.0015443259998369516,0.8744910565291449,8.942803232069365e-05,0.9802749881815607,1.3368318019917361e-05,1140.373291015625,0.264958724100259,115.97215779622395,0.01797280734407776,9.83316421508789,0.001281278746402557,0.8735936676989328,7.811218145728122e-05,0.9798369208533037,1.214847442627711e-05,690296337727488.0,9521821825221.03,6262071.333333333,853042.7990020978,690292154608298.6,9521815839068.69,932988.5,1731940.5933808035,-690294279722325.4,9521851983663.832,-932859.2708333334,1731602.2758151426,0.0006001943062680463,3.131891534810462e-05
7,113,128,3,0.00572630933796366,2.1050070714344268e-06,0.00463803531602025,4.080566771507143e-07,1.234641194343567,0.0003538025074570188,0.8744482075183081,4.694571175419841e-05,0.9802703880470571,1.3134037183300301e-05,21268124330.666668,301224046.6440376,17271294634.666668,341575243.2215772,1.231831431388855,0.035504177812924906,0.874182976502775,0.0034467854984944406,0.9800552709952915,0.0003340236641153662,22.512399673461914,0.008278728258392253,18.23396873474121,0.0016004223570489711,1.2346406777699788,0.0003543278376923062,0.8744482032123124,4.704638300333937e-05,0.980270381175266,1.3144833005544722e-05,22.92704200744629,0.010835739240105943,18.452871322631836,0.0037420508048898416,1.2424647013346355,0.00036570741197765793,0.8736489274027682,4.845589004560284e-05,0.9798869688365431,1.3538911347514755e-05,0.29023940364519757,0.00019727166482321466,0.02951470824579398,1.3796996904488689e-05,9.833720525105795,0.0022008518775896045,0.8744482075183081,4.694571175419841e-05,0.9802703880470571,1.3134037183300301e-05,1066446334634.6666,14544553415.774813,108926700202.66667,1357928414.1169066,9.79041862487793,0.025506730443263178,0.874182976502775,0.0034467854984944406,0.9800552709952915,0.0003340236641153662,1141.046142578125,0.7754971505505658,116.03406270345052,0.05424397266853294,9.83371607462565,0.0022011316278032736,0.8744482032123124,4.704638300333937e-05,0.980270381175266,1.3144833005544722e-05,1139.9101155598958,0.8160323636006211,115.92188517252605,0.05934372999883521,9.83343251546224,0.00212201479033963,0.8736489274027682,4.845589004560284e-05,0.9798869688365431,1.3538911347514755e-05,691368893961557.4,13676350986717.496,5417545.833333333,308794.65356865124,691364598994261.4,13676286093551.535,785620.7265625,1050661.3627075541,-691366791217152.0,13676406006211.93,-785532.2291666666,1050479.0813649904,0.0006297306972555816,1.3805476221875726e-05
8,129,144,3,0.0057256983903547125,2.937527830217289e-06,0.004637788825978835,2.3637268453526062e-07,1.2345749934514363,0.0005954746881622719,0.8744592752762338,3.955551829310587e-05,0.9802726215854297,1.3431239625860984e-05,21349853866.666668,255271489.9388642,17366386005.333332,207079751.89416873,1.2294187148412068,0.012341339781371473,0.8772091385284914,0.0006386677367547804,0.9811731088074812,0.0002356767220444409,22.502360026041668,0.01154786494728439,18.22681427001953,0.000928477253379791,1.234574516614278,0.0005955486285003308,0.8744592831780102,3.9528407340033765e-05,0.9802726250899906,1.3436779093321478e-05,22.864844004313152,0.012814791498802082,18.41940180460612,0.0019389259764689502,1.2413456042607625,0.0006083032476561332,0.8737675643027069,4.781785362559335e-05,0.9799350794876247,1.4683927351110014e-05,0.2902413209279378,0.00026542615621993855,0.02951388309399287,1.7535755144322707e-05,9.834059715270996,0.003253865353023104,0.8744592752762338,3.955551829310587e-05,0.9802726215854297,1.3431239625860984e-05,1134233081173.3333,27304917370.874702,113275950421.33333,1938322947.717303,10.012258847554525,0.0787516775592787,0.8772091385284914,0.0006386677367547804,0.9811731088074812,0.0002356767220444409,1140.6671142578125,1.0435185715517445,115.9915059407552,0.06890777334430072,9.834056536356607,0.0032584541282923143,0.8744592831780102,3.9528407340033765e-05,0.9802726250899906,1.3436779093321478e-05,1139.5436197916667,1.0488383708810958,115.8801778157552,0.069443910913562,9.833808581034342,0.0032456138025333398,0.8737675643027069,4.781785362559335e-05,0.9799350794876247,1.4683927351110014e-05,695176673274538.6,8290435743865.547,4929279.0,218318.78196286733,695172199350272.0,8290232097192.676,-962644.921875,639385.535042916,-695174391573162.6,8290301896211.736,962530.34375,639596.1840958708,0.0006518424294578532,1.27275854300933e-05
9,145,160,3,0.005725282710045576,3.8435987301943926e-06,0.0046381657011806965,6.992720988024353e-07,1.2343852122624714,0.000943448838211531,0.874474005771061,6.326373062967978e-05,0.9802727254777724,7.013831608160246e-06,21154567509.333332,338830942.49798286,17512889002.666668,264383527.26522216,1.208107630411784,0.025453257283129894,0.8772177615634588,0.004149390945837421,0.9807113577512463,0.0009628473095724287,22.494707107543945,0.015102717450651922,18.223410924275715,0.002750666768665799,1.2343851725260417,0.0009436301225735891,0.8744739814094226,6.329259557301016e-05,0.9802727210829062,7.007935404222981e-06,22.82032839457194,0.018080774250434573,18.39459800720215,0.0024625289131527746,1.240599552790324,0.0010331241929114352,0.8738396216193682,7.119558066759162e-05,0.9799675908857394,5.773165902501357e-06,0.2902217109998067,0.00023710749105660702,0.029512965430816013,1.580407598996844e-05,9.833701133728027,0.0028831845899749135,0.874474005771061,6.326373062967978e-05,0.9802727254777724,7.013831608160246e-06,1097994185386.6666,37849150310.23542,111536229034.66667,2242877705.2750673,9.842643102010092,0.16554302703229742,0.8772177615634588,0.004149390945837421,0.9807113577512463,0.0009628473095724287,1140.2844645182292,0.931303089770578,115.9568099975586,0.06208354299173394,9.833698908487955,0.0028820846234068574,0.8744739814094226,6.329259557301016e-05,0.9802727210829062,7.007935404222981e-06,1139.1704915364583,0.9314752134660552,115.84574890136719,0.06188091238991405,9.833510716756185,0.0028677397931060385,0.8738396216193682,7.119558066759162e-05,0.9799675908857394,5.773165902501357e-06,701040265527296.0,10582890829455.797,4386577.5,133913.84772307903,701035724494165.4,10582814635586.633,144805.875,1482015.8116927948,-701038028565162.6,10582801700110.162,-144678.38541666666,1481999.3174239504,0.0006928677515437206,2.247382362034617e-05
