step,test_loss,test_accuracy
32,2.1790507568359376,0.2283
98,1.311534619140625,0.5845
196,0.708622427368164,0.7637
293,0.5460088653564453,0.8156
391,0.472840234375,0.8452
488,0.44190762481689455,0.8632
