seed,mechanism,G_dynamic,G_frozen,numerator_dynamic,numerator_frozen,denominator
0,cont,1.1229378493179805,1.6976611659140088e-15,0.008177088483637233,1.2362149496826408e-17,0.0072818709322191
0,seg97,0.7828483753015913,1.2787395365094457e-15,0.008277994929048299,1.3521647017177179e-17,0.010574199538779411
1,cont,0.3566588046162964,2.2846497575690973e-16,0.02783582719730647,1.78307993620062e-17,0.07804609569993103
1,seg97,0.3614689370864713,2.606712558028908e-15,0.02560135366131553,1.8462269712411272e-16,0.07082587474229113
2,cont,0.45829011154759647,3.1105431465094097e-15,0.01695683316104165,1.1509076859081144e-16,0.037000216094081204
2,seg97,0.1715744481921398,2.085607070894894e-15,0.014169480638703442,1.7223991871968055e-16,0.08258502817876222
