seed,tau,switch_relative_change,switch_p_mean,switch_p_median,switch_p_p10,switch_p_p90,switch_p_rms,switch_p_weighted_objective,switch_test_accuracy,final_test_loss,final_test_accuracy,best_test_loss,best_test_accuracy,post_switch_accuracy_gain
0,32,0.02430148608982563,73.01921844482422,72.04608917236328,61.7953987121582,85.45596313476562,73.63027954101562,838067.0733584844,0.2562,0.3322441925048828,0.8955,0.3322441925048828,0.8955,0.6393
0,48,0.01588805951178074,73.62647247314453,72.980224609375,64.33039093017578,83.7373046875,74.02787017822266,782578.2974336192,0.3571,0.34420974731445314,0.8922,0.34420974731445314,0.8922,0.5351
0,64,0.01185999158769846,76.73345947265625,76.23197174072266,68.30996704101562,85.794677734375,77.04361724853516,739384.7401969931,0.4656,0.34745497741699216,0.8922,0.34745497741699216,0.8922,0.4266
0,80,0.009463097900152206,77.27296447753906,76.86693572998047,69.66551208496094,85.39585876464844,77.52111053466797,695587.2915679083,0.5472,0.3505004020690918,0.8922,0.3505004020690918,0.8922,0.345
0,97,0.00783847738057375,74.97711181640625,74.65457153320312,68.25559997558594,82.1100082397461,75.17476654052734,649468.4313966625,0.5957,0.36203071060180664,0.8892,0.36203071060180664,0.8892,0.2935
1,32,0.024317137897014618,73.00940704345703,72.04037475585938,61.778987884521484,85.44651794433594,73.6207275390625,837849.7338725674,0.3088,0.3374208595275879,0.8987,0.3374208595275879,0.8987,0.5899000000000001
1,48,0.015898074954748154,73.61764526367188,72.96566772460938,64.32389831542969,83.73572540283203,74.01911163330078,782393.0419176355,0.4094,0.34920063171386717,0.8939,0.34920063171386717,0.8939,0.48450000000000004
1,64,0.011835628189146519,76.73126220703125,76.22557067871094,68.30571746826172,85.79216003417969,77.04150390625,739344.2176274008,0.4954,0.35631599426269533,0.8923,0.35631599426269533,0.8923,0.3969
1,80,0.009478237479925156,77.26951599121094,76.86581420898438,69.65436553955078,85.38990020751953,77.5177993774414,695527.9388007219,0.5711,0.36092258529663085,0.8877,0.36092258529663085,0.8877,0.3166
1,97,0.007826731540262699,74.9751968383789,74.6501235961914,68.25145721435547,82.10865783691406,75.17306518554688,649438.9794702684,0.617,0.3736335807800293,0.8871,0.3736335807800293,0.8871,0.2701
2,32,0.02427288144826889,73.0109634399414,72.03523254394531,61.793670654296875,85.45423126220703,73.6219482421875,837877.4927461777,0.2287,0.44190596771240237,0.8635,0.44190596771240237,0.8635,0.6348
2,48,0.015880467370152473,73.61827850341797,72.96183776855469,64.32606506347656,83.73162078857422,74.01964569091797,782404.3402198779,0.3132,0.4509872024536133,0.8619,0.4509872024536133,0.8619,0.5487
2,64,0.011856590397655964,76.7261962890625,76.21662902832031,68.30425262451172,85.79440307617188,77.03644561767578,739247.0857885496,0.4168,0.45069795989990236,0.8606,0.45069795989990236,0.8606,0.44380000000000003
2,80,0.009476709179580212,77.26941680908203,76.85964965820312,69.66144561767578,85.40092468261719,77.51792907714844,695530.1172241226,0.5037,0.45442315216064455,0.8611,0.45442315216064455,0.8611,0.35739999999999994
2,97,0.007832767441868782,74.97534942626953,74.6482925415039,68.25251770019531,82.11305236816406,75.1732406616211,649442.0110074381,0.5646,0.47416171875,0.8557,0.47416171875,0.8557,0.2911
