step,test_loss,test_accuracy
32,1.9519140380859374,0.3088
98,1.1646383514404297,0.6252
196,0.6529340667724609,0.7844
293,0.45410298614501954,0.8487
391,0.367864421081543,0.8808
488,0.3413034149169922,0.8936
