step,test_loss,test_accuracy
32,2.294441619873047,0.1449
98,1.7609241333007812,0.3799
196,1.1404528381347656,0.629
293,0.8011526947021484,0.7362
391,0.6127359130859374,0.7957
488,0.4920537109375,0.8362
