step,test_loss,test_accuracy
80,1.3660619720458984,0.5472
98,1.1785197418212892,0.6147
196,0.6080257263183594,0.7997
293,0.42517904663085937,0.8575
391,0.36570732421875,0.8808
488,0.3505004020690918,0.8922
