step,test_loss,test_accuracy
32,2.060710302734375,0.2559
98,1.1645337280273438,0.62
196,0.6017264938354492,0.8018
293,0.4139931297302246,0.8604
391,0.34900890808105467,0.8863
488,0.332270272064209,0.8955
