step,test_loss,test_accuracy
32,2.408884735107422,0.1399
98,1.9802343200683594,0.3124
196,1.4669650329589843,0.5238
293,1.094385430908203,0.6555
391,0.8651385925292969,0.7221
488,0.7329191955566406,0.7567
