strategy,sgd,sgd_wd,momentum,momentum_wd,adam_momentum,adam_momentum_wd
sgd,0.0,0.046117817643595516,0.3921690809401533,0.39210228808756964,0.009086595986635772,0.040615950519860465
sgd_wd,0.04613839186679641,0.0,0.3946410674499342,0.3945605643283424,0.05397494420512288,0.08665436414412761
momentum,0.3334311306433863,0.3353832479557178,0.0,0.0001243004087401467,0.3374898905404062,0.3387203502627102
momentum_wd,0.33339147476895314,0.33533206554491507,0.000124306796847813,0.0,0.3374522247082355,0.3386914805224825
adam_momentum,0.009103606221681784,0.054051872269047764,0.3976859233347901,0.39762110453656874,0.0,0.03286269502215403
adam_momentum_wd,0.0406072895917091,0.08659725297020703,0.3983051084173252,0.39825069306652167,0.03279429601314744,0.0
