strategy,samples,window,metric,start_step,end_step,correlated_energy,matched_iid_energy,ratio,gain
sgd,100,early,trajectory,1,97,4278.043153259498,9196.645102648434,0.46517432232189915,0.5348256776781009
sgd,100,early,endpoint,1,97,81.8518327515475,178.13042521379518,0.459505065759022,0.5404949342409779
sgd,100,late,trajectory,98,488,100528.12117216672,206926.88280851836,0.48581469844684855,0.5141853015531515
sgd,100,late,endpoint,98,488,441.3788126657726,885.1891897333965,0.4986265284133307,0.5013734715866693
sgd,100,full,trajectory,1,488,104806.16432542622,216123.52791116678,0.4849363941926058,0.5150636058073942
sgd,100,full,endpoint,1,488,441.3788126657726,885.1891897333965,0.4986265284133307,0.5013734715866693
sgd_wd,100,early,trajectory,1,97,4284.993247630966,9197.903043170587,0.46586632056450733,0.5341336794354927
sgd_wd,100,early,endpoint,1,97,81.92808661848923,178.15532383094285,0.4598688653067329,0.5401311346932671
sgd_wd,100,late,trajectory,98,488,100564.34884309975,206940.46880150595,0.485957867136947,0.514042132863053
sgd_wd,100,late,endpoint,98,488,441.4842529122411,885.2249673554346,0.49872548695859004,0.50127451304141
sgd_wd,100,full,trajectory,1,488,104849.3420907307,216138.37184467656,0.48510285885783644,0.5148971411421636
sgd_wd,100,full,endpoint,1,488,441.4842529122411,885.2249673554346,0.49872548695859004,0.50127451304141
momentum,100,early,trajectory,1,97,4175.6323799552665,9186.161804611234,0.4545568071595689,0.5454431928404311
momentum,100,early,endpoint,1,97,80.65932447679643,178.13002172533194,0.45281151203792747,0.5471884879620725
momentum,100,late,trajectory,98,488,99920.71142220886,207040.73797805235,0.482613771560267,0.517386228439733
momentum,100,late,endpoint,98,488,439.5684108158937,885.7711308948975,0.49625506576602496,0.503744934233975
momentum,100,full,trajectory,1,488,104096.3438021641,216226.89978266356,0.4814218023141182,0.5185781976858819
momentum,100,full,endpoint,1,488,439.5684108158937,885.7711308948975,0.49625506576602496,0.503744934233975
momentum_wd,100,early,trajectory,1,97,4175.719161866748,9186.163190437537,0.45456618560984424,0.5454338143901558
momentum_wd,100,early,endpoint,1,97,80.66037503337509,178.12998051578165,0.4528175144903745,0.5471824855096254
momentum_wd,100,late,trajectory,98,488,99921.16836853896,207040.5614262165,0.48261639014221897,0.5173836098577811
momentum_wd,100,late,endpoint,98,488,439.56950486097264,885.7701711615198,0.49625683859342484,0.5037431614065752
momentum_wd,100,full,trajectory,1,488,104096.88753040571,216226.72461665404,0.4814247069364711,0.5185752930635289
momentum_wd,100,full,endpoint,1,488,439.56950486097264,885.7701711615198,0.49625683859342484,0.5037431614065752
adam_momentum,100,early,trajectory,1,97,4282.995520495565,9196.498823219135,0.4657202271022907,0.5342797728977093
adam_momentum,100,early,endpoint,1,97,81.9258469401671,178.12494942221497,0.4599347099095915,0.5400652900904085
adam_momentum,100,late,trajectory,98,488,100583.22602529364,206919.8328945697,0.48609756067482934,0.5139024393251707
adam_momentum,100,late,endpoint,98,488,441.57928072389007,885.1576012546834,0.4988708000676548,0.5011291999323453
adam_momentum,100,full,trajectory,1,488,104866.22154578922,216116.33171778885,0.4852304345176775,0.5147695654823226
adam_momentum,100,full,endpoint,1,488,441.57928072389007,885.1576012546834,0.4988708000676548,0.5011291999323453
adam_momentum_wd,100,early,trajectory,1,97,4277.832279829717,9195.83756768241,0.4651922403309524,0.5348077596690476
adam_momentum_wd,100,early,endpoint,1,97,81.86858306477674,178.11452920502245,0.4596401171211597,0.5403598828788403
adam_momentum_wd,100,late,trajectory,98,488,100555.2539263477,206915.58095333847,0.4859723635264756,0.5140276364735243
adam_momentum_wd,100,late,endpoint,98,488,441.496428775122,885.1499202587795,0.498781526914726,0.501218473085274
adam_momentum_wd,100,full,trajectory,1,488,104833.08620617742,216111.41852102085,0.4850881407544898,0.5149118592455102
adam_momentum_wd,100,full,endpoint,1,488,441.496428775122,885.1499202587795,0.498781526914726,0.501218473085274
