strategy,metric,n,mean,std,se,ci95_low,ci95_high
sgd,final_train_loss,10,0.3713139383850098,0.011368057980352383,0.0035948955790767205,0.3631817196012898,0.3794461571687298
sgd,final_test_loss,10,0.45711566390991204,0.015000705315146518,0.00474363953048569,0.44638480576829115,0.46784652205153293
sgd,final_test_accuracy,10,0.9075700000000001,0.002061849223930364,0.00065201397394705,0.9060950419185912,0.909044958081409
sgd,best_test_loss,10,0.4472376428222655,0.010907393127773555,0.0034492205618632415,0.43943496382217573,0.4550403218223553
sgd,best_test_accuracy,10,0.9075700000000001,0.002061849223930364,0.00065201397394705,0.9060950419185912,0.909044958081409
sgd,calibrated_iid_noise_std,10,0.01381823718923465,1.828559098217032e-18,5.782411586589357e-19,0.013818237189234648,0.013818237189234651
sgd,sensitivity_squared,10,25.884801864624023,0.0,0.0,25.884801864624023,25.884801864624023
sgd,mean_marginal_correlated_noise_variance,10,0.00026514047118216314,0.0,0.0,0.00026514047118216314,0.00026514047118216314
sgd_wd,final_train_loss,10,0.37612613415527346,0.01151995778579358,0.0036429305152097823,0.3678852527967155,0.3843670155138314
sgd_wd,final_test_loss,10,0.4630292350769043,0.01499271262480848,0.004741112019875628,0.452304094561514,0.4737543755922946
sgd_wd,final_test_accuracy,10,0.9065799999999999,0.0022359685944922368,0.000707075353520089,0.9049804844243964,0.9081795155756035
sgd_wd,best_test_loss,10,0.4522874486541748,0.011016318399545364,0.0034836657572184177,0.44440684920868834,0.4601680480996613
sgd_wd,best_test_accuracy,10,0.90671,0.0021020889081524966,0.0006647388793938379,0.9052062561825888,0.9082137438174113
sgd_wd,calibrated_iid_noise_std,10,0.01359357068870556,0.0,0.0,0.01359357068870556,0.01359357068870556
sgd_wd,sensitivity_squared,10,25.049938201904297,0.0,0.0,25.049938201904297,25.049938201904297
sgd_wd,mean_marginal_correlated_noise_variance,10,0.0002563600964663827,5.714247181928225e-20,1.807003620809174e-20,0.00025636009646638264,0.00025636009646638275
momentum,final_train_loss,10,0.32381230393981936,0.01507239103779666,0.004766308546414647,0.31303016492144115,0.33459444295819757
momentum,final_test_loss,10,0.3707210344314575,0.01668700103567733,0.005276893059032902,0.35878387300064607,0.3826581958622689
momentum,final_test_accuracy,10,0.91239,0.004528539131625845,0.001432049812913872,0.9091504782582331,0.9156295217417669
momentum,best_test_loss,10,0.3707210344314575,0.01668700103567733,0.005276893059032902,0.35878387300064607,0.3826581958622689
momentum,best_test_accuracy,10,0.91239,0.004528539131625845,0.001432049812913872,0.9091504782582331,0.9156295217417669
momentum,calibrated_iid_noise_std,10,0.02836394723969122,0.0,0.0,0.02836394723969122,0.02836394723969122
momentum,sensitivity_squared,10,109.06185913085938,0.0,0.0,109.06185913085938,109.06185913085938
momentum,mean_marginal_correlated_noise_variance,10,0.0015453913818482018,2.28569887277129e-19,7.228014483236696e-20,0.0015453913818482016,0.001545391381848202
momentum_wd,final_train_loss,10,0.323699606262207,0.01505372607400119,0.004760406166610821,0.3129308193545796,0.3344683931698344
momentum_wd,final_test_loss,10,0.37068464256286626,0.016661510417765802,0.005268832217876352,0.35876571602161533,0.3826035691041172
momentum_wd,final_test_accuracy,10,0.9124000000000001,0.004488256281056647,0.0014193112570695845,0.90918929487358,0.9156107051264202
momentum_wd,best_test_loss,10,0.37068464256286626,0.016661510417765802,0.005268832217876352,0.35876571602161533,0.3826035691041172
momentum_wd,best_test_accuracy,10,0.9124000000000001,0.004488256281056647,0.0014193112570695845,0.90918929487358,0.9156107051264202
momentum_wd,calibrated_iid_noise_std,10,0.028279861488559415,0.0,0.0,0.028279861488559415,0.028279861488559415
momentum_wd,sensitivity_squared,10,108.41618347167969,0.0,0.0,108.41618347167969,108.41618347167969
momentum_wd,mean_marginal_correlated_noise_variance,10,0.0015360843570601794,2.28569887277129e-19,7.228014483236696e-20,0.0015360843570601792,0.0015360843570601797
adam_momentum,final_train_loss,10,0.38015071525573735,0.011240150983162283,0.0035544478350973733,0.37210999562577923,0.38819143488569546
adam_momentum,final_test_loss,10,0.46817877189636226,0.01479825406305779,0.00467961882331036,0.45759273865604544,0.4787648051366791
adam_momentum,final_test_accuracy,10,0.9057000000000001,0.002174089847882698,0.0006875075757158325,0.9041447498131164,0.9072552501868837
adam_momentum,best_test_loss,10,0.4554478635406494,0.011536946687117647,0.0036483028775225724,0.44719482905420443,0.4637008980270944
adam_momentum,best_test_accuracy,10,0.9058399999999999,0.002081238947251256,0.0006581455428365003,0.9043511713461085,0.9073288286538912
adam_momentum,calibrated_iid_noise_std,10,0.013446736673377351,0.0,0.0,0.013446736673377351,0.013446736673377351
adam_momentum,sensitivity_squared,10,24.511695861816406,0.0,0.0,24.511695861816406,24.511695861816406
adam_momentum,mean_marginal_correlated_noise_variance,10,0.0002501382155752021,5.714247181928225e-20,1.807003620809174e-20,0.00025013821557520207,0.0002501382155752022
adam_momentum_wd,final_train_loss,10,0.37652408137512205,0.011189814315704726,0.0035385299831985372,0.36851937042785327,0.38452879232239084
adam_momentum_wd,final_test_loss,10,0.4637043318176269,0.014875623975177478,0.004704085337776887,0.4530629514763609,0.4743457121588929
adam_momentum_wd,final_test_accuracy,10,0.9065,0.0020515576737905475,0.0006487595000374855,0.9050324040500568,0.9079675959499431
adam_momentum_wd,best_test_loss,10,0.45181355430603026,0.011328485696292303,0.0035823817240922175,0.4437096438289977,0.45991746478306283
adam_momentum_wd,best_test_accuracy,10,0.9065899999999999,0.001987432738204972,0.0006284814149112853,0.9051682762655728,0.908011723734427
adam_momentum_wd,calibrated_iid_noise_std,10,0.013610321799235126,0.0,0.0,0.013610321799235126,0.013610321799235126
adam_momentum_wd,sensitivity_squared,10,25.111713409423828,0.0,0.0,25.111713409423828,25.111713409423828
adam_momentum_wd,mean_marginal_correlated_noise_variance,10,0.0002573313878635532,0.0,0.0,0.0002573313878635532,0.0002573313878635532
