strategy_a,strategy_b,ratio_difference,ci95_low,ci95_high
sgd,sgd_wd,-0.00016646466523068115,-0.00016775430533613744,-0.00016511178011134608
sgd,momentum,0.0035145918784876273,0.0034806414094131584,0.003548115802708249
sgd,momentum_wd,0.0035116872561348766,0.003477794479107378,0.0035451473476436164
sgd,adam_momentum,-0.0002940403250717427,-0.00029648864776148505,-0.0002915527694585377
sgd,adam_momentum_wd,-0.00015174656188399194,-0.00015381202537201322,-0.00014980665653118868
sgd_wd,momentum,0.0036810565437183085,0.003645818513515006,0.003715470437616332
sgd_wd,momentum_wd,0.003678151921365558,0.0036429597557066607,0.0037125128332107364
sgd_wd,adam_momentum,-0.00012757565984106156,-0.00012968387262306534,-0.00012554821008388257
sgd_wd,adam_momentum_wd,1.4718103346689215e-05,1.2505753207830983e-05,1.6947911395205625e-05
momentum,momentum_wd,-2.9046223527506854e-06,-2.9628563954137154e-06,-2.8461598951631807e-06
momentum,adam_momentum,-0.00380863220355937,-0.0038443789185974284,-0.003771815925463147
momentum,adam_momentum_wd,-0.0036663384403716193,-0.003701250892010553,-0.0036301913287648258
momentum_wd,adam_momentum,-0.0038057275812066194,-0.0038414073272285006,-0.0037689894848632983
momentum_wd,adam_momentum_wd,-0.0036634338180188686,-0.0036982796939796113,-0.0036273471131748848
adam_momentum,adam_momentum_wd,0.00014229376318775078,0.00014130980205881162,0.0001432353974013853
