strategy_a,strategy_b,metric,n,mean,std,se,ci95_low,ci95_high
sgd,sgd_wd,final_train_loss,10,-0.004812195770263672,0.00044718368217254103,0.0001414118968126063,-0.00513209170554319,-0.004492299834984155
sgd,sgd_wd,final_test_loss,10,-0.005913571166992204,0.0005809237327293811,0.00018370421422717482,-0.006329138971042423,-0.005498003362941985
sgd,sgd_wd,final_test_accuracy,10,0.000990000000000002,0.00043063260959247884,0.0001361779881054307,0.0006819439887918532,0.0012980560112081508
sgd,sgd_wd,best_test_loss,10,-0.0050498058319091935,0.0003755883952485702,0.00011877147917130449,-0.005318485584252698,-0.004781126079565689
sgd,sgd_wd,best_test_accuracy,10,0.0008599999999999941,0.000469515116310903,0.00014847371634213268,0.0005241291190893698,0.0011958708809106185
sgd,sgd_wd,calibrated_iid_noise_std,10,0.0002246665005290905,0.0,0.0,0.0002246665005290905,0.0002246665005290905
sgd,sgd_wd,sensitivity_squared,10,0.8348636627197266,0.0,0.0,0.8348636627197266,0.8348636627197266
sgd,sgd_wd,mean_marginal_correlated_noise_variance,10,8.780374715780493e-06,0.0,0.0,8.780374715780493e-06,8.780374715780493e-06
sgd,momentum,final_train_loss,10,0.047501634445190434,0.008959677992971022,0.0028332989559474524,0.041092266917645226,0.05391100197273564
sgd,momentum,final_test_loss,10,0.08639462947845458,0.012707455187513511,0.004018450165706476,0.07730426365275404,0.09548499530415512
sgd,momentum,final_test_accuracy,10,-0.0048200000000000135,0.0039929938642577325,0.0012626955294131636,-0.007676415736295273,-0.001963584263704754
sgd,momentum,best_test_loss,10,0.07651660839080807,0.01435431013375879,0.004539231426311401,0.06624815350617902,0.08678506327543711
sgd,momentum,best_test_accuracy,10,-0.0048200000000000135,0.0039929938642577325,0.0012626955294131636,-0.007676415736295273,-0.001963584263704754
sgd,momentum,calibrated_iid_noise_std,10,-0.014545710050456568,0.0,0.0,-0.014545710050456568,-0.014545710050456568
sgd,momentum,sensitivity_squared,10,-83.17705726623535,0.0,0.0,-83.17705726623535,-83.17705726623535
sgd,momentum,mean_marginal_correlated_noise_variance,10,-0.0012802509106660386,2.28569887277129e-19,7.228014483236696e-20,-0.0012802509106660388,-0.0012802509106660384
sgd,momentum_wd,final_train_loss,10,0.047614332122802736,0.008935886013174557,0.0028257752713272987,0.04122198435231165,0.05400667989329382
sgd,momentum_wd,final_test_loss,10,0.0864310213470459,0.01265968232323347,0.004003343059558973,0.07737483016972609,0.09548721252436572
sgd,momentum_wd,final_test_accuracy,10,-0.004830000000000001,0.0039519474805327194,0.001249715523184733,-0.007657052922232451,-0.0020029470777675512
sgd,momentum_wd,best_test_loss,10,0.07655300025939941,0.014300138146562955,0.004522100739819768,0.06632329767992107,0.08678270283887776
sgd,momentum_wd,best_test_accuracy,10,-0.004830000000000001,0.0039519474805327194,0.001249715523184733,-0.007657052922232451,-0.0020029470777675512
sgd,momentum_wd,calibrated_iid_noise_std,10,-0.014461624299324762,1.828559098217032e-18,5.782411586589357e-19,-0.014461624299324764,-0.01446162429932476
sgd,momentum_wd,sensitivity_squared,10,-82.53138160705566,0.0,0.0,-82.53138160705566,-82.53138160705566
sgd,momentum_wd,mean_marginal_correlated_noise_variance,10,-0.0012709438858780162,2.28569887277129e-19,7.228014483236696e-20,-0.0012709438858780164,-0.001270943885878016
sgd,adam_momentum,final_train_loss,10,-0.008836776870727526,0.0005450331607561337,0.00017235461883100824,-0.009226670106257445,-0.008446883635197607
sgd,adam_momentum,final_test_loss,10,-0.011063107986450198,0.0010095094110326977,0.0003192349058238438,-0.011785267515274816,-0.01034094845762558
sgd,adam_momentum,final_test_accuracy,10,0.0018699999999999828,0.000408384350554445,0.00012914247085206933,0.0015778594345405158,0.00216214056545945
sgd,adam_momentum,best_test_loss,10,-0.008210220718383792,0.0016445196179855385,0.0005200427649664306,-0.009386639184113987,-0.007033802252653598
sgd,adam_momentum,best_test_accuracy,10,0.0017299999999999872,0.0004083843505544514,0.00012914247085207137,0.0014378594345405156,0.0020221405654594587
sgd,adam_momentum,calibrated_iid_noise_std,10,0.0003715005158572999,0.0,0.0,0.0003715005158572999,0.0003715005158572999
sgd,adam_momentum,sensitivity_squared,10,1.3731060028076172,0.0,0.0,1.3731060028076172,1.3731060028076172
sgd,adam_momentum,mean_marginal_correlated_noise_variance,10,1.500225560696107e-05,0.0,0.0,1.500225560696107e-05,1.500225560696107e-05
sgd,adam_momentum_wd,final_train_loss,10,-0.005210142990112299,0.0005139181091601163,0.00016251517557530103,-0.005577777858603374,-0.004842508121621223
sgd,adam_momentum_wd,final_test_loss,10,-0.0065886679077148454,0.0007456599283838473,0.00023579837336109937,-0.007122080886989822,-0.006055254928439869
sgd,adam_momentum_wd,final_test_accuracy,10,0.0010700000000000043,0.00046916000587339345,0.00014836142056178978,0.0007343831497932347,0.001405616850206774
sgd,adam_momentum_wd,best_test_loss,10,-0.00457591148376465,0.0011726951243710396,0.00037083875939869173,-0.005414807039581601,-0.0037370159279476994
sgd,adam_momentum_wd,best_test_accuracy,10,0.0009800000000000143,0.00046380072349137824,0.0001466666666666717,0.0006482169494562662,0.0013117830505437623
sgd,adam_momentum_wd,calibrated_iid_noise_std,10,0.00020791538999952522,0.0,0.0,0.00020791538999952522,0.00020791538999952522
sgd,adam_momentum_wd,sensitivity_squared,10,0.7730884552001953,0.0,0.0,0.7730884552001953,0.7730884552001953
sgd,adam_momentum_wd,mean_marginal_correlated_noise_variance,10,7.809083318609938e-06,0.0,0.0,7.809083318609938e-06,7.809083318609938e-06
sgd_wd,momentum,final_train_loss,10,0.052313830215454105,0.009221972580947169,0.0029162437875414563,0.045716828443001435,0.058910831987906774
sgd_wd,momentum,final_test_loss,10,0.09230820064544679,0.012914699865387007,0.004083986687209291,0.08306958090820378,0.10154682038268979
sgd_wd,momentum,final_test_accuracy,10,-0.005810000000000015,0.004205142354572806,0.0013297827725693443,-0.008818177623933414,-0.0028018223760666165
sgd_wd,momentum,best_test_loss,10,0.08156641422271729,0.014494520141723135,0.004583569723903168,0.07119765914060475,0.09193516930482984
sgd_wd,momentum,best_test_accuracy,10,-0.005680000000000007,0.004166479995818471,0.0013175566612315193,-0.008660520238597376,-0.002699479761402638
sgd_wd,momentum,calibrated_iid_noise_std,10,-0.014770376550985656,1.828559098217032e-18,5.782411586589357e-19,-0.014770376550985658,-0.014770376550985655
sgd_wd,momentum,sensitivity_squared,10,-84.01192092895508,0.0,0.0,-84.01192092895508,-84.01192092895508
sgd_wd,momentum,mean_marginal_correlated_noise_variance,10,-0.0012890312853818188,2.28569887277129e-19,7.228014483236696e-20,-0.001289031285381819,-0.0012890312853818186
sgd_wd,momentum_wd,final_train_loss,10,0.05242652789306641,0.009199094912059991,0.002909009233417591,0.04584589181904469,0.05900716396708813
sgd_wd,momentum_wd,final_test_loss,10,0.09234459251403809,0.012869178111047094,0.004069591444529212,0.08313853707813404,0.10155064794994215
sgd_wd,momentum_wd,final_test_accuracy,10,-0.005820000000000003,0.004167013318913204,0.0013177253128023318,-0.008800901754956302,-0.002839098245043703
sgd_wd,momentum_wd,best_test_loss,10,0.0816028060913086,0.014440139101931744,0.004566372929176264,0.0712729528615647,0.0919326593210525
sgd_wd,momentum_wd,best_test_accuracy,10,-0.005689999999999995,0.004126190064023287,0.0013048158661069574,-0.008641698557646592,-0.002738301442353398
sgd_wd,momentum_wd,calibrated_iid_noise_std,10,-0.014686290799853851,3.657118196434064e-18,1.1564823173178713e-18,-0.014686290799853854,-0.014686290799853847
sgd_wd,momentum_wd,sensitivity_squared,10,-83.36624526977539,0.0,0.0,-83.36624526977539,-83.36624526977539
sgd_wd,momentum_wd,mean_marginal_correlated_noise_variance,10,-0.0012797242605937964,2.28569887277129e-19,7.228014483236696e-20,-0.0012797242605937966,-0.0012797242605937962
sgd_wd,adam_momentum,final_train_loss,10,-0.0040245811004638535,0.0008485531094404457,0.0002683360541449935,-0.004631599427384957,-0.0034175627735427497
sgd_wd,adam_momentum,final_test_loss,10,-0.005149536819457995,0.000919818756504849,0.0002908722305099142,-0.005807535519165088,-0.0044915381197509026
sgd_wd,adam_momentum,final_test_accuracy,10,0.0008799999999999808,0.0006014796569940966,0.00019020456823581712,0.00044972737356838724,0.0013102726264315745
sgd_wd,adam_momentum,best_test_loss,10,-0.0031604148864745997,0.0013441837806687867,0.00042506823407695765,-0.004121986036869774,-0.002198843736079426
sgd_wd,adam_momentum,best_test_accuracy,10,0.000869999999999993,0.0005963779562212385,0.00018859126879752983,0.00044337691044845924,0.0012966230895515266
sgd_wd,adam_momentum,calibrated_iid_noise_std,10,0.0001468340153282094,0.0,0.0,0.0001468340153282094,0.0001468340153282094
sgd_wd,adam_momentum,sensitivity_squared,10,0.5382423400878906,0.0,0.0,0.5382423400878906,0.5382423400878906
sgd_wd,adam_momentum,mean_marginal_correlated_noise_variance,10,6.221880891180576e-06,0.0,0.0,6.221880891180576e-06,6.221880891180576e-06
sgd_wd,adam_momentum_wd,final_train_loss,10,-0.00039794721984862667,0.0008846009686879429,0.000279735388144519,-0.0010307526318278862,0.00023485819213063302
sgd_wd,adam_momentum_wd,final_test_loss,10,-0.0006750967407226416,0.0007906898273567943,0.0002500380777172783,-0.001240722169203077,-0.00010947131224220625
