strategy,seed,final_train_loss,final_test_loss,final_test_accuracy,best_test_loss,best_test_accuracy,calibrated_iid_noise_std,sensitivity_squared,mean_marginal_correlated_noise_variance
sgd,0,0.37719339874267577,0.4585549407958984,0.9087,0.4585549407958984,0.9087,0.013818237189234651,25.884801864624023,0.00026514047118216314
sgd,1,0.3757199102783203,0.4586843795776367,0.908,0.4505929077148437,0.908,0.013818237189234651,25.884801864624023,0.00026514047118216314
sgd,2,0.37801912017822265,0.4717393867492676,0.9063,0.4419040115356445,0.9063,0.013818237189234651,25.884801864624023,0.00026514047118216314
sgd,3,0.38221949447631837,0.4810188034057617,0.9035,0.4635514358520508,0.9035,0.013818237189234651,25.884801864624023,0.00026514047118216314
sgd,4,0.3474908503723145,0.45266615295410156,0.9102,0.45266615295410156,0.9102,0.013818237189234651,25.884801864624023,0.00026514047118216314
sgd,5,0.38262030197143554,0.4725219551086426,0.905,0.45187762298583983,0.905,0.013818237189234651,25.884801864624023,0.00026514047118216314
sgd,6,0.3607046078491211,0.4470946990966797,0.9082,0.4428332931518555,0.9082,0.013818237189234651,25.884801864624023,0.00026514047118216314
sgd,7,0.37238999008178714,0.4459194366455078,0.909,0.44212618560791017,0.909,0.013818237189234651,25.884801864624023,0.00026514047118216314
sgd,8,0.37610595138549807,0.4529560752868652,0.9076,0.44405787658691404,0.9076,0.013818237189234651,25.884801864624023,0.00026514047118216314
sgd,9,0.3606757585144043,0.43000080947875974,0.9092,0.42421200103759765,0.9092,0.013818237189234651,25.884801864624023,0.00026514047118216314
sgd_wd,0,0.38174982894897463,0.4638397430419922,0.9082,0.4638397430419922,0.9082,0.01359357068870556,25.049938201904297,0.00025636009646638264
sgd_wd,1,0.3801582083129883,0.4635996047973633,0.9077,0.45543605194091796,0.9077,0.01359357068870556,25.049938201904297,0.00025636009646638264
sgd_wd,2,0.3833084700012207,0.4778842498779297,0.905,0.4468705810546875,0.9059,0.01359357068870556,25.049938201904297,0.00025636009646638264
sgd_wd,3,0.38657697692871096,0.48679778442382815,0.9026,0.4690202941894531,0.903,0.01359357068870556,25.049938201904297,0.00025636009646638264
sgd_wd,4,0.3516223271179199,0.45803308868408205,0.9097,0.45803308868408205,0.9097,0.01359357068870556,25.049938201904297,0.00025636009646638264
sgd_wd,5,0.38782464477539064,0.4790462966918945,0.9035,0.4565304206848145,0.9035,0.01359357068870556,25.049938201904297,0.00025636009646638264
sgd_wd,6,0.3660520332336426,0.45379777374267577,0.9068,0.4473415832519531,0.9068,0.01359357068870556,25.049938201904297,0.00025636009646638264
sgd_wd,7,0.3774371989440918,0.45223396224975587,0.908,0.4468169937133789,0.908,0.01359357068870556,25.049938201904297,0.00025636009646638264
sgd_wd,8,0.3812918589782715,0.4592070892333984,0.9065,0.44965968017578123,0.9065,0.01359357068870556,25.049938201904297,0.00025636009646638264
sgd_wd,9,0.3652397943115234,0.43585275802612305,0.9078,0.4293260498046875,0.9078,0.01359357068870556,25.049938201904297,0.00025636009646638264
momentum,0,0.3339957580566406,0.38565192260742187,0.9059,0.38565192260742187,0.9059,0.02836394723969122,109.06185913085938,0.0015453913818482016
momentum,1,0.3348999851989746,0.38400418090820315,0.9098,0.38400418090820315,0.9098,0.02836394723969122,109.06185913085938,0.0015453913818482016
momentum,2,0.32584185974121094,0.38075255165100097,0.9139,0.38075255165100097,0.9139,0.02836394723969122,109.06185913085938,0.0015453913818482016
momentum,3,0.3415428230285645,0.3840665740966797,0.9061,0.3840665740966797,0.9061,0.02836394723969122,109.06185913085938,0.0015453913818482016
momentum,4,0.30175214935302735,0.35459426727294924,0.9186,0.35459426727294924,0.9186,0.02836394723969122,109.06185913085938,0.0015453913818482016
momentum,5,0.34172273513793944,0.3893820449829102,0.9103,0.3893820449829102,0.9103,0.02836394723969122,109.06185913085938,0.0015453913818482016
momentum,6,0.3041061212158203,0.34647975463867187,0.9164,0.34647975463867187,0.9164,0.02836394723969122,109.06185913085938,0.0015453913818482016
momentum,7,0.32822561447143556,0.3753893882751465,0.9116,0.3753893882751465,0.9116,0.02836394723969122,109.06185913085938,0.0015453913818482016
momentum,8,0.3079591493225098,0.3508639122009277,0.9182,0.3508639122009277,0.9182,0.02836394723969122,109.06185913085938,0.0015453913818482016
momentum,9,0.3180768438720703,0.3560257476806641,0.9131,0.3560257476806641,0.9131,0.02836394723969122,109.06185913085938,0.0015453913818482016
momentum_wd,0,0.3337840995788574,0.3855363311767578,0.906,0.3855363311767578,0.906,0.028279861488559415,108.41618347167969,0.0015360843570601792
momentum_wd,1,0.3348380763244629,0.3840751541137695,0.9097,0.3840751541137695,0.9097,0.028279861488559415,108.41618347167969,0.0015360843570601792
momentum_wd,2,0.32570288513183593,0.3806917274475098,0.9139,0.3806917274475098,0.9139,0.028279861488559415,108.41618347167969,0.0015360843570601792
momentum_wd,3,0.34146613586425784,0.3841141555786133,0.9063,0.3841141555786133,0.9063,0.028279861488559415,108.41618347167969,0.0015360843570601792
momentum_wd,4,0.3017070654296875,0.3546589935302734,0.9185,0.3546589935302734,0.9185,0.028279861488559415,108.41618347167969,0.0015360843570601792
momentum_wd,5,0.34161182708740234,0.38919774017333986,0.9101,0.38919774017333986,0.9101,0.028279861488559415,108.41618347167969,0.0015360843570601792
momentum_wd,6,0.3040054167175293,0.346486450958252,0.9164,0.346486450958252,0.9164,0.028279861488559415,108.41618347167969,0.0015360843570601792
momentum_wd,7,0.32807242172241213,0.3753268539428711,0.9116,0.3753268539428711,0.9116,0.028279861488559415,108.41618347167969,0.0015360843570601792
momentum_wd,8,0.30792825820922853,0.3508807838439941,0.9182,0.3508807838439941,0.9182,0.028279861488559415,108.41618347167969,0.0015360843570601792
momentum_wd,9,0.3178798765563965,0.35587823486328124,0.9133,0.35587823486328124,0.9133,0.028279861488559415,108.41618347167969,0.0015360843570601792
