algorithm,window_index,start_step,end_step,num_seeds,mean_p_relative_change_mean,mean_p_relative_change_std,C_00_mean,C_00_std,C_10_mean,C_10_std,C_01_mean,C_01_std,C_11_mean,C_11_std,C_BC_mean,C_BC_std,C_real_mean,C_real_std,C_dynamic_clean_p_mean,C_dynamic_clean_p_std,gap_mean,gap_std,E_cross_mean,E_cross_std,E_square_mean,E_square_std,interaction_mean,interaction_std,R_BC_mean,R_BC_std,nonpositive_v_fraction_00_mean,nonpositive_v_fraction_00_std,nonpositive_v_fraction_10_mean,nonpositive_v_fraction_10_std,nonpositive_v_fraction_01_mean,nonpositive_v_fraction_01_std,nonpositive_v_fraction_11_mean,nonpositive_v_fraction_11_std,nonpositive_v_fraction_BC_mean,nonpositive_v_fraction_BC_std,corrected_v_nonpositive_fraction_mean,corrected_v_nonpositive_fraction_std,floor_activation_fraction_mean,floor_activation_fraction_std,mean_window_p_bc_median,std_window_p_bc_median,mean_window_p_bc_q99,std_window_p_bc_q99,mean_window_p_bc_q99_9,std_window_p_bc_q99_9,p_bc_max,raw_optimizer_update_l2_mean,raw_optimizer_update_l2_std,raw_optimizer_update_l2_min,raw_optimizer_update_l2_max,applied_parameter_update_l2_mean,applied_parameter_update_l2_std,applied_parameter_update_l2_min,applied_parameter_update_l2_max,parameter_l2_mean,parameter_l2_std,parameter_l2_min,parameter_l2_max
baseline,0,1,16,3,0.08656460791826248,0.000549907447245153,1.1407951911290486,0.027208999976735523,1.4750243822733562,0.008825063050327297,7.770896911621094,0.09363151307741853,7.766318162282308,0.09365654397172159,8.458584467569986,0.09111822471533502,7.766318162282308,0.09365654397172159,1.1407951911290486,0.027208999976735523,6.625522971153259,0.10752824818421527,0.16482522090276083,0.016635797252789315,6.460697750250499,0.09543000841509151,-0.33880794048309326,0.03187556808067972,-0.10450605874127494,0.00202229387965118,0.0,0.0,0.49858421087265015,0.00015996157718687061,0.0,0.0,0.0,0.0,0.5917720794677734,0.00020428875290238666,0.5917720794677734,0.00020428875290238666,0.9411291281382242,4.4497226030626525e-05,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,639.1400756835938,535.7157209223107,281.33612060546875,2345.387451171875,3.195704778035482,2.6785164789635885,1.406775951385498,11.726943016052246,218.21589152018228,0.1198021655863605,217.7362518310547,218.3217315673828
baseline,1,17,32,3,0.006571630326410134,0.00040628331570944357,1.2751971085866292,0.023705338065937533,1.5337676207224529,0.005931766668740187,13.46005948384603,0.057221918582843964,13.460055351257324,0.057225231575614086,13.50047747294108,0.05644566528560751,13.460055351257324,0.057225231575614086,1.2751971085866292,0.023705338065937533,12.184858242670694,0.040731493406507294,0.12928318977355957,0.00977867421368215,12.055575052897135,0.045276140535593964,-0.258574644724528,0.019557719295091983,-0.003317529320025677,8.534556898525461e-05,0.0,0.0,0.49734650055567425,0.00023969308929199786,0.0,0.0,0.0,0.0,0.5478903651237488,0.0001150396821091377,0.5478903651237488,0.0001150396821091377,0.9928130904833475,2.6429423593441736e-05,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,246.5308634440104,13.095262699243179,230.59829711914062,274.2326965332031,1.2327390511830647,0.0654792072423995,1.1530694961547852,1.3712533712387085,218.10758463541666,0.03649067304769466,218.0172119140625,218.20278930664062
baseline,2,33,48,3,0.0034408201463520527,0.00028124314193605235,1.2897276083628337,0.03015172498252713,1.4544764757156372,0.008244110901156022,13.877474466959635,0.1541835102956986,13.87746779123942,0.15418616103450244,13.900912602742514,0.15354508885294652,13.87746779123942,0.15418616103450244,1.2897276083628337,0.03015172498252713,12.587740182876587,0.1486556394759886,0.08237109581629436,0.017716158461957444,12.505369087060293,0.14778907038434888,-0.1647555430730184,0.035430635834210834,-0.0018632301821951784,0.000125026495038877,0.0,0.0,0.4967578152815501,0.00041784388624999173,0.0,0.0,0.0,0.0,0.5369847416877747,0.00017722515759494253,0.5369847416877747,0.00017722515759494253,0.9990302920341492,3.939321432556702e-06,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,224.9886678059896,2.3500721660392903,221.85821533203125,229.701416015625,1.1250176827112834,0.011753362118112986,1.1093660593032837,1.1485865116119385,217.9364471435547,0.05128863062632721,217.8537139892578,218.01925659179688
baseline,3,49,64,3,0.0024757124095534286,0.0005029339314237189,1.280969262123108,0.015963333693791392,1.4036967754364014,0.011750037183985762,13.549893379211426,0.29660231032128187,13.549885114034018,0.29660468743109925,13.570139567057291,0.2962561665351216,13.549885114034018,0.29660468743109925,1.280969262123108,0.015963333693791392,12.26891585191091,0.287640048047882,0.0613596240679423,0.012962342048654403,12.207556227842966,0.2913156956476203,-0.12273577849070232,0.025926770145132273,-0.0016520446180883959,0.00021983470117428549,0.0,0.0,0.4962545136610667,0.0003657024756959137,0.0,0.0,0.0,0.0,0.5313547650973002,0.00018073241261728232,0.5313547650973002,0.00018073241261728232,0.9998551607131958,2.3684878929025564e-06,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,220.52489217122397,0.5955313713680385,219.6062774658203,221.71376037597656,1.1026960611343384,0.0030054200697898132,1.0980920791625977,1.1086446046829224,217.77547200520834,0.09556258128584116,217.6966552734375,217.85678100585938
baseline,4,65,80,3,0.0018421499601875742,0.00037414156185064347,1.282734990119934,0.023690174223212547,1.3716031710306804,0.004802134973281741,12.95005989074707,0.31985904369864065,12.950054168701172,0.31986189532117426,12.970548629760742,0.3176506224269684,12.950054168701172,0.31986189532117426,1.282734990119934,0.023690174223212547,11.667319178581238,0.2963090151257983,0.04443122943242391,0.010749142618368878,11.622887949148813,0.3070268288209286,-0.0888739029566447,0.02150400721324654,-0.0017605657971437871,0.00026581843113260544,0.0,0.0,0.49593162536621094,0.00033429526990493366,0.0,0.0,0.0,0.0,0.5277204712231954,9.454013192792561e-05,0.5277204712231954,9.454013192792561e-05,0.9999795953432719,1.3076847928289042e-06,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,219.13645935058594,0.27438827990688225,218.68917846679688,219.6459197998047,1.0957526365915935,0.0014189959596675058,1.0935187339782715,1.0983026027679443,217.61841328938803,0.05127431046826264,217.54055786132812,217.6978302001953
baseline,5,81,96,3,0.0012258470136051376,0.0001213557474407297,1.301251769065857,0.019529537637087088,1.3557615677515666,0.002005866722718642,12.318821589152018,0.5540593087990077,12.318819363911947,0.5540600064540687,12.338672955830893,0.5532251609844715,12.318819363911947,0.5540600064540687,1.301251769065857,0.019529537637087088,11.01756759484609,0.5539979091985624,0.02725378672281901,0.010664444401976088,10.99031380812327,0.553482084910398,-0.05451202392578125,0.021327153507152467,-0.0018077642262090225,0.00018120148114545733,0.0,0.0,0.49573150277137756,0.00020853669275679127,0.0,0.0,0.0,0.0,0.5251763264338175,0.0002141069970899869,0.5251763264338175,0.0002141069970899869,0.9999966422716776,4.311906181615731e-07,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,218.51265462239584,0.13078928813551488,218.26171875,218.80792236328125,1.0926337242126465,0.0005314617835933678,1.0913752317428589,1.0941110849380493,217.4626007080078,0.07237201824666549,217.3845672607422,217.5415802001953
baseline,6,97,112,3,0.0010045197171469529,9.185842345123488e-05,1.2933777173360188,0.02248169331622933,1.3462957938512166,0.003057488023195135,12.00741449991862,0.35202747353984815,12.007413228352865,0.35202875963961683,12.027375857035318,0.35031722294739437,12.007413228352865,0.35202875963961683,1.2933777173360188,0.02248169331622933,10.714035511016846,0.37236500301274994,0.02645840247472127,0.012230044991461202,10.687577108542124,0.3608078482936446,-0.052919348080952965,0.024458152412581435,-0.001868337030780524,0.0002222937340537508,0.0,0.0,0.49554869532585144,0.0001653547474676936,0.0,0.0,0.0,0.0,0.523206909497579,0.00029758030840891465,0.523206909497579,0.00029758030840891465,0.9999993840853373,2.753020616481904e-07,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,218.1357625325521,0.12298909456925346,217.91290283203125,218.39932250976562,1.090747872988383,0.0005461188357282535,1.089626669883728,1.0920644998550415,217.30745951334634,0.07235027975798604,217.23196411132812,217.38690185546875
baseline,7,113,128,3,0.0008620102307759225,7.230518623227173e-05,1.2527305285135906,0.06184405019972594,1.3393316666285198,0.0002526886690059139,11.435056686401367,0.23537177378013047,11.435055096944174,0.23536902361016693,11.453369140625,0.2349219735266882,11.435055096944174,0.23536902361016693,1.2527305285135906,0.06184405019972594,10.182324568430582,0.19424469770776745,0.04329977432886759,0.031040753494424887,10.139024794101715,0.21367606081977117,-0.08660272757212321,0.06207727214912949,-0.0017996458588379987,8.23070643218875e-05,0.0,0.0,0.4953930576642354,0.00021488647557327327,0.0,0.0,0.0,0.0,0.5216367840766907,0.00036624577797837304,0.5216367840766907,0.00036624577797837304,0.9999999205271403,9.104759881806055e-08,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,217.86170959472656,0.1106689072499377,217.66786193847656,218.08416748046875,1.089377482732137,0.000501396628937011,1.088410496711731,1.0904872417449951,217.15283711751303,0.036401728119618254,217.07583618164062,217.2317352294922
baseline,8,129,144,3,0.0007641081659433743,5.069181304823083e-05,1.2915397882461548,0.02891677365690814,1.3349494536717732,0.00087252096196772,10.961386680603027,0.10646675575981612,10.961382865905762,0.10646269091489245,10.977975209554037,0.1068711757312306,10.961382865905762,0.10646269091489245,1.2915397882461548,0.02891677365690814,9.669843077659607,0.11325283639724106,0.021702925364176433,0.01408858333909707,9.648140152295431,0.10926710218447004,-0.04341348012288412,0.028176167979763342,-0.0017155833610832023,7.050545596654413e-05,0.0,0.0,0.4952382246653239,0.0001976234543993907,0.0,0.0,0.0,0.0,0.5204003055890402,0.0003243307005985364,0.5204003055890402,0.0003243307005985364,1.0,0.0,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,217.64385986328125,0.10316610003836764,217.49014282226562,217.82521057128906,1.088289459546407,0.00035346502277846923,1.0875210762023926,1.089195728302002,216.99886067708334,0.0885520338895886,216.9188690185547,217.0787353515625
baseline,9,145,160,3,0.0006648668204434216,2.6142442124296336e-05,1.3283235629399617,0.02188791816086843,1.3314512173334758,0.0005848133933405145,10.563775698343912,0.2765353577810069,10.563774108886719,0.276535867780123,10.579383532206217,0.2765742742894924,10.563774108886719,0.276535867780123,1.3283235629399617,0.02188791816086843,9.235450545946756,0.2944518940742899,0.0015630324681599934,0.011206208354730383,9.233887513478598,0.2852873660428207,-0.003129243850708008,0.02240877809036914,-0.001691221536661569,5.475635219759354e-05,0.0,0.0,0.4950481355190277,0.00016973506595216993,0.0,0.0,0.0,0.0,0.5193815231323242,0.0003093837522722487,0.5193815231323242,0.0003093837522722487,1.0,0.0,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,0.0,62.43670654296875,217.49442545572916,0.08916306895998459,217.32872009277344,217.6448974609375,1.0875424146652222,0.00040285670151399646,1.0867133140563965,1.0882940292358398,216.84278869628906,0.03645423386436939,216.765625,216.9237823486328
