seed,algorithm,window_index,start_step,end_step,mean_p_relative_change,C_00,C_10,C_01,C_11,C_BC,C_real,C_dynamic_clean_p,gap,E_cross,E_square,interaction,R_BC,nonpositive_v_fraction_00,nonpositive_v_fraction_10,nonpositive_v_fraction_01,nonpositive_v_fraction_11,nonpositive_v_fraction_BC,corrected_v_nonpositive_fraction,floor_activation_fraction,p_bc_median,p_bc_q99,p_bc_q99_9,p_bc_max,raw_optimizer_update_l2_mean,raw_optimizer_update_l2_std,raw_optimizer_update_l2_min,raw_optimizer_update_l2_max,applied_parameter_update_l2_mean,applied_parameter_update_l2_std,applied_parameter_update_l2_min,applied_parameter_update_l2_max,parameter_l2_mean,parameter_l2_std,parameter_l2_min,parameter_l2_max
0,bc,0,1,16,0.08797722309827805,1.1376829147338867,1.5348516702651978,8.519089698791504,8.514657020568848,9.245179176330566,9.245179176330566,1.1376829147338867,8.10749626159668,0.1963680386543274,7.1806060671806335,-0.4016014337539673,-0.09902734444789463,0.0,0.4984424412250519,0.0,0.0,0.5919011235237122,0.5919011235237122,0.941105842590332,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,516.6734619140625,371.85223388671875,264.65118408203125,1715.866943359375,2.5833964347839355,1.8592132329940796,1.3233405351638794,8.579336166381836,217.7867431640625,0.0625,217.5967559814453,217.84573364257812
0,bc,1,17,32,0.009652589447796345,1.2533515691757202,1.5490549802780151,13.673855781555176,13.67385196685791,13.713233947753906,13.713233947753906,1.2533515691757202,12.459882378578186,0.14784979820251465,12.272650599479675,-0.29570722579956055,-0.0031707241765674965,0.0,0.49729257822036743,0.0,0.0,0.5478410124778748,0.5478410124778748,0.9928163886070251,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,236.46563720703125,10.494604110717773,223.8828125,258.62884521484375,1.1824095249176025,0.05247490108013153,1.1194887161254883,1.2932292222976685,217.64236450195312,0.0,217.561279296875,217.72674560546875
0,bc,2,33,48,0.004118710290640593,1.3133480548858643,1.4519490003585815,13.909746170043945,13.90973949432373,13.933733940124512,13.933733940124512,1.3133480548858643,12.620385885238647,0.06929713487625122,12.527094304561615,-0.13860762119293213,-0.001904866637095548,0.0,0.49679502844810486,0.0,0.0,0.5369383692741394,0.5369383692741394,0.9990328550338745,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,219.62710571289062,1.6700485944747925,217.51388549804688,223.05836486816406,1.098209023475647,0.00835089385509491,1.0876437425613403,1.1153672933578491,217.47500610351562,0.0883883461356163,217.3997802734375,217.5509490966797
0,bc,3,49,64,0.0023225771728903055,1.2957344055175781,1.3915711641311646,13.355076789855957,13.355071067810059,13.378551483154297,13.378551483154297,1.2957344055175781,12.082817077636719,0.047915518283843994,12.011421144008636,-0.09584248065948486,-0.0019470735415869633,0.0,0.4963618218898773,0.0,0.0,0.5314064621925354,0.5314064621925354,0.9998555779457092,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.78497314453125,0.29315096139907837,216.3762664794922,217.32705688476562,1.0839968919754028,0.00146484375,1.081943154335022,1.0867067575454712,217.31414794921875,0.0883883461356163,217.240966796875,217.389892578125
0,bc,4,65,80,0.0017825751565396786,1.2573469877243042,1.3663341999053955,12.439065933227539,12.43906307220459,12.462782859802246,12.462782859802246,1.2573469877243042,11.205435872077942,0.054492175579071045,11.127223908901215,-0.10899007320404053,-0.0021213011865484077,0.0,0.4959843158721924,0.0,0.0,0.527774453163147,0.527774453163147,0.9999811053276062,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.26910400390625,0.13975423574447632,216.0880126953125,216.44107055664062,1.0814164876937866,0.00048828125,1.0805130004882812,1.0822772979736328,217.1580047607422,0.0625,217.08432006835938,217.2311248779297
0,bc,5,81,96,0.0014905581483617425,1.2971175909042358,1.354344367980957,11.891484260559082,11.8914794921875,11.91329288482666,11.91329288482666,1.2971175909042358,10.616175293922424,0.02861100435256958,10.565750896930695,-0.05723154544830322,-0.002058962384182683,0.0,0.49567100405693054,0.0,0.0,0.5251381993293762,0.5251381993293762,0.9999964833259583,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.1866912841797,0.0,216.07762145996094,216.27410888671875,1.0810023546218872,0.0,1.0804612636566162,1.081430196762085,217.0035858154297,0.0625,216.93072509765625,217.0747528076172
0,bc,6,97,112,0.0015630715060979128,1.2963664531707764,1.3445066213607788,11.93507194519043,11.93506908416748,11.956711769104004,11.956711769104004,1.2963664531707764,10.660345315933228,0.02406865358352661,10.614633977413177,-0.04814302921295166,-0.002034334983052055,0.0,0.4955979883670807,0.0,0.0,0.5232048034667969,0.5232048034667969,0.9999992251396179,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.18089294433594,0.0883883461356163,216.0861053466797,216.3099822998047,1.0809751749038696,0.00048828125,1.0804972648620605,1.0816158056259155,216.8483428955078,0.0625,216.77426147460938,216.9205780029297
0,bc,7,113,128,0.0012221693759784102,1.2675749063491821,1.3395613431930542,11.802233695983887,11.80223560333252,11.822408676147461,11.822408676147461,1.2675749063491821,10.554833769798279,0.03599417209625244,10.498666524887085,-0.07198452949523926,-0.0019149238305053995,0.0,0.49546441435813904,0.0,0.0,0.5215849876403809,0.5215849876403809,1.0,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.19808959960938,0.0883883461356163,216.01698303222656,216.31591796875,1.0810586214065552,0.0003452669770922512,1.0801591873168945,1.0816463232040405,216.69300842285156,0.0883883461356163,216.62193298339844,216.765380859375
0,bc,8,129,144,0.0007904296508058906,1.2643283605575562,1.3342663049697876,11.1218900680542,11.121888160705566,11.139147758483887,11.139147758483887,1.2643283605575562,9.87481939792633,0.034968018531799316,9.822591781616211,-0.06993985176086426,-0.001750899627112723,0.0,0.495351642370224,0.0,0.0,0.5204162001609802,0.5204162001609802,1.0,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.13812255859375,0.0,215.98703002929688,216.25726318359375,1.0807607173919678,0.00048828125,1.080005168914795,1.081355333328247,216.53977966308594,0.0883883461356163,216.46641540527344,216.61233520507812
0,bc,9,145,160,0.0007232871139422059,1.3018444776535034,1.331165075302124,10.892670631408691,10.892663955688477,10.908632278442383,10.908632278442383,1.3018444776535034,9.60678780078888,0.01465696096420288,9.57616251707077,-0.02932727336883545,-0.0016649591612558634,0.0,0.4952308237552643,0.0,0.0,0.5194867849349976,0.5194867849349976,1.0,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.15284729003906,0.0883883461356163,216.05868530273438,216.26931762695312,1.0808343887329102,0.0003452669770922512,1.080363392829895,1.081413745880127,216.3838348388672,0.0625,216.31097412109375,216.45736694335938
0,bc,10,161,176,0.0007684000302106142,1.3097940683364868,1.3308998346328735,10.201742172241211,10.201739311218262,10.214560508728027,10.214560508728027,1.3097940683364868,8.90476644039154,0.01055145263671875,8.881393790245056,-0.021108627319335938,-0.0014418889410086067,0.0,0.49503564834594727,0.0,0.0,0.518553614616394,0.518553614616394,1.0,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.155029296875,0.0625,216.0186004638672,216.2550506591797,1.0808428525924683,0.00048828125,1.0801652669906616,1.0813448429107666,216.2305145263672,0.0,216.15933227539062,216.3020782470703
0,bc,11,177,192,0.000798140827100724,1.2762991189956665,1.3271862268447876,10.352407455444336,10.352405548095703,10.365532875061035,10.365532875061035,1.2762991189956665,9.089233756065369,0.02544260025024414,9.050663828849792,-0.050889015197753906,-0.0014463610654942283,0.0,0.49484938383102417,0.0,0.0,0.5178297758102417,0.5178297758102417,1.0,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.18701171875,0.0,216.13970947265625,216.25022888183594,1.0810070037841797,0.0,1.0807827711105347,1.0813239812850952,216.07472229003906,0.10825317353010178,216.00088500976562,216.14903259277344
0,bc,12,193,208,0.0006558866589330137,1.3273650407791138,1.324362874031067,9.989124298095703,9.989123344421387,10.001380920410156,10.001380920410156,1.3273650407791138,8.674015879631042,-0.0015015602111816406,8.663259863853455,0.0030012130737304688,-0.0014151371533439594,0.0,0.4947126507759094,0.0,0.0,0.5171118378639221,0.5171118378639221,1.0,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.18505859375,0.0,216.04750061035156,216.32887268066406,1.0809952020645142,0.00048828125,1.0803053379058838,1.0817211866378784,215.9178009033203,0.0,215.84584045410156,215.99102783203125
0,bc,13,209,224,0.0005204384215176105,1.275244951248169,1.3244760036468506,9.4536714553833,9.4536714553833,9.464167594909668,9.464167594909668,1.275244951248169,8.188922643661499,0.02461552619934082,8.153810977935791,-0.04923105239868164,-0.0012833935135396768,0.0,0.4946885108947754,0.0,0.0,0.5162994861602783,0.5162994861602783,1.0,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.1848907470703,0.0,216.04281616210938,216.30728149414062,1.0809931755065918,0.0005980199202895164,1.0802829265594482,1.081602931022644,215.76451110839844,0.0,215.69229125976562,215.83680725097656
0,bc,14,225,240,0.000535616825800389,1.2995643615722656,1.3237427473068237,9.05388069152832,9.053878784179688,9.062764167785645,9.062764167785645,1.2995643615722656,7.763199806213379,0.012088239192962646,7.742226183414459,-0.024180293083190918,-0.0011458632087515408,0.0,0.49460187554359436,0.0,0.0,0.5156179666519165,0.5156179666519165,1.0,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.2134552001953,0.0625,216.10183715820312,216.3087615966797,1.081135869026184,0.00048828125,1.0805811882019043,1.0816078186035156,215.61093139648438,0.0883883461356163,215.53927612304688,215.68270874023438
0,bc,15,241,256,0.0005055826622992754,1.300083041191101,1.3213670253753662,10.101360321044922,10.101359367370605,10.111481666564941,10.111481666564941,1.300083041191101,8.81139862537384,0.010641515254974365,8.79063481092453,-0.021284937858581543,-0.0011500944657567569,0.0,0.4946155548095703,0.0,0.0,0.5151214003562927,0.5151214003562927,1.0,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.17100524902344,0.0625,216.06468200683594,216.2248077392578,1.0809218883514404,0.0,1.0803898572921753,1.081192970275879,215.45883178710938,0.0625,215.38914489746094,215.529541015625
0,bc,16,257,272,0.000558895873837173,1.258996844291687,1.3218328952789307,9.520898818969727,9.520896911621094,9.529549598693848,9.529549598693848,1.258996844291687,8.27055275440216,0.03141707181930542,8.230482995510101,-0.06283795833587646,-0.0010472998949684342,0.0,0.4944384694099426,0.0,0.0,0.514601469039917,0.514601469039917,1.0,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.1970977783203,0.10825317353010178,216.0782470703125,216.29592895507812,1.0810555219650269,0.0,1.0804638862609863,1.0815566778182983,215.3060760498047,0.0,215.23411560058594,215.3792724609375
0,bc,17,273,288,0.0005429506418295205,1.2459464073181152,1.318969964981079,10.00587272644043,10.005874633789062,10.014684677124023,10.014684677124023,1.2459464073181152,8.768738269805908,0.03651273250579834,8.723415493965149,-0.07302165031433105,-0.0010057209496692199,0.0,0.49438247084617615,0.0,0.0,0.5141286849975586,0.5141286849975586,1.0,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.1729278564453,0.0883883461356163,216.0301513671875,216.31356811523438,1.0809334516525269,0.00048828125,1.080222725868225,1.0816370248794556,215.15281677246094,0.10825317353010178,215.0807342529297,215.22503662109375
0,bc,18,289,304,0.0004492441948968917,1.3082199096679688,1.3172509670257568,9.875110626220703,9.87510871887207,9.884552001953125,9.884552001953125,1.3082199096679688,8.576332092285156,0.004514575004577637,8.562374234199524,-0.009032964706420898,-0.001102300180540361,0.0,0.49427539110183716,0.0,0.0,0.5136831998825073,0.5136831998825073,1.0,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.18138122558594,0.0,216.07766723632812,216.24554443359375,1.0809757709503174,0.0,1.0804558992385864,1.0813000202178955,215.00027465820312,0.0883883461356163,214.9276123046875,215.0713348388672
0,bc,19,305,320,0.0004365534405224025,1.32132089138031,1.3200852870941162,9.579813003540039,9.579813003540039,9.58793830871582,9.58793830871582,1.32132089138031,8.26661741733551,-0.0006178021430969238,8.259109914302826,0.0012356042861938477,-0.0009838727294801952,0.0,0.49414634704589844,0.0,0.0,0.5133868455886841,0.5133868455886841,1.0,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.1484832763672,0.0,216.08457946777344,216.2903594970703,1.0808091163635254,0.0,1.0804998874664307,1.0815227031707764,214.847412109375,0.0,214.7777862548828,214.91778564453125
0,bc,20,321,336,0.0004249450284987688,1.289003849029541,1.319601058959961,8.836886405944824,8.836886405944824,8.843952178955078,8.843952178955078,1.289003849029541,7.554948329925537,0.015298604965209961,7.532583951950073,-0.030597209930419922,-0.000936126517201874,0.0,0.4941304326057434,0.0,0.0,0.5131376385688782,0.5131376385688782,1.0,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.1825714111328,0.0,216.04867553710938,216.24339294433594,1.0809836387634277,0.0,1.0803184509277344,1.0812894105911255,214.69357299804688,0.0883883461356163,214.62130737304688,214.76780700683594
0,bc,21,337,352,0.0004089646099600941,1.213870882987976,1.31699538230896,8.364937782287598,8.364937782287598,8.370534896850586,8.370534896850586,1.213870882987976,7.15666401386261,0.05156224966049194,7.09950464963913,-0.10312449932098389,-0.0007826964342252385,0.0,0.4940304756164551,0.0,0.0,0.5128863453865051,0.5128863453865051,1.0,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.1712646484375,0.10825317353010178,216.0518035888672,216.2933349609375,1.0809253454208374,0.0,1.080324649810791,1.0815342664718628,214.5402069091797,0.0625,214.46795654296875,214.61122131347656
0,bc,22,353,368,0.00043503232882358134,1.2158823013305664,1.3181650638580322,8.608055114746094,8.608053207397461,8.613465309143066,8.613465309143066,1.2158823013305664,7.3975830078125,0.051140427589416504,7.341030478477478,-0.10228466987609863,-0.0007321396940598301,0.0,0.4938245415687561,0.0,0.0,0.5126006007194519,0.5126006007194519,1.0,62.43670654296875,62.43670654296875,62.43670654296875,62.43670654296875,216.17593383789062,0.10825317353010178,216.07554626464844,216.24746704101562,1.0809485912322998,0.0003452669770922512,1.080446481704712,1.0813050270080566,214.3869171142578,0.0883883461356163,214.31454467773438,214.4575653076172
