strategy,workload_type,seed,sensitivity_squared,strategy_objective,epsilon,delta,adjacency,calibrated_noise_stddev,calibrated_noise_multiplier,epoch,step,effective_epoch,epsilon_spent,train_loss,test_loss,test_accuracy,elapsed_seconds,eval_seconds
sgd,sgd,1,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,1,98,1.00352,1.3365104658900253,0.4993177249145508,0.5247136108398438,0.8518,278.3706495659426,113.87557883467525
sgd,sgd,1,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,2,196,2.00704,1.9128705395244265,0.4418883563232422,0.4909173355102539,0.8869,410.14622630830854,68.37217061687261
sgd,sgd,1,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,3,293,3.00032,2.352710020216793,0.3943581652832031,0.4505929077148437,0.8995,541.612293525599,66.47038588579744
sgd,sgd,1,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,4,391,4.00384,2.761570169237622,0.38389315063476565,0.45271202697753904,0.9035,675.1807260131463,68.45543517451733
sgd,sgd,1,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,5,488,4.99712,2.9999999999999867,0.3757199102783203,0.4586843795776367,0.908,812.8357913168147,74.1209520585835
