seed,delta_R_linear,delta_R_adamw,gamma_R,delta_accuracy,delta_test_loss
0,0.02608025074005127,-0.28192138671875,-0.30800163745880127,0.0005999999999999339,0.0015630699157714312
1,0.026039540767669678,-0.302032470703125,-0.3280720114707947,-0.00010000000000010001,0.0008410583496093471
2,0.02605140209197998,-0.4001312255859375,-0.4261826276779175,9.999999999998899e-05,0.00041777877807619435
