strategy,workload_type,seed,sensitivity_squared,strategy_objective,epsilon,delta,adjacency,calibrated_noise_stddev,calibrated_noise_multiplier,epoch,step,effective_epoch,epsilon_spent,train_loss,test_loss,test_accuracy,elapsed_seconds,eval_seconds
adam_momentum,adam_momentum,9,24.511695861816406,85.02693176269531,3.0,1e-05,add_remove,0.013446736673377351,1.390593456674537,1,98,1.00352,1.3458522909037829,0.4996615997314453,0.5175532318115235,0.8569,200.72011940088123,64.11979008186609
adam_momentum,adam_momentum,9,24.511695861816406,85.02693176269531,3.0,1e-05,add_remove,0.013446736673377351,1.390593456674537,2,196,2.00704,1.9204375588577811,0.41977523620605467,0.4573052848815918,0.8876,325.49606283567846,62.03689044993371
adam_momentum,adam_momentum,9,24.511695861816406,85.02693176269531,3.0,1e-05,add_remove,0.013446736673377351,1.390593456674537,3,293,3.00032,2.3586966704221632,0.38612458618164064,0.4327061569213867,0.8999,449.61058572586626,62.87449218053371
adam_momentum,adam_momentum,9,24.511695861816406,85.02693176269531,3.0,1e-05,add_remove,0.013446736673377351,1.390593456674537,4,391,4.00384,2.767221574419006,0.3869330909729004,0.4329101547241211,0.9052,573.5391878383234,63.91752745676786
adam_momentum,adam_momentum,9,24.511695861816406,85.02693176269531,3.0,1e-05,add_remove,0.013446736673377351,1.390593456674537,5,488,4.99712,2.9999999999999867,0.3700119854736328,0.4413054779052734,0.908,702.9115007556975,67.95697909593582
