strategy,workload_type,seed,sensitivity_squared,strategy_objective,epsilon,delta,adjacency,calibrated_noise_stddev,calibrated_noise_multiplier,epoch,step,effective_epoch,epsilon_spent,train_loss,test_loss,test_accuracy,elapsed_seconds,eval_seconds
sgd_wd,sgd_wd,4,25.049938201904297,61.66783142089844,3.0,1e-05,add_remove,0.01359357068870556,1.390593456674537,1,98,1.00352,1.3400308500359037,0.44339537200927737,0.47384335327148436,0.8753,252.81201380770653,94.65342849958688
sgd_wd,sgd_wd,4,25.049938201904297,61.66783142089844,3.0,1e-05,add_remove,0.01359357068870556,1.390593456674537,2,196,2.00704,1.915852274602486,0.4004291232299805,0.46324462203979494,0.8937,414.493881970644,91.7710248157382
sgd_wd,sgd_wd,4,25.049938201904297,61.66783142089844,3.0,1e-05,add_remove,0.01359357068870556,1.390593456674537,3,293,3.00032,2.355369778800852,0.3718066879272461,0.4602437194824219,0.9013,565.1498693842441,84.83949892502278
sgd_wd,sgd_wd,4,25.049938201904297,61.66783142089844,3.0,1e-05,add_remove,0.01359357068870556,1.390593456674537,4,391,4.00384,2.7641858205579304,0.3727174369812012,0.48207900009155275,0.9021,714.345306516625,84.58785947971046
sgd_wd,sgd_wd,4,25.049938201904297,61.66783142089844,3.0,1e-05,add_remove,0.01359357068870556,1.390593456674537,5,488,4.99712,2.9999999999999867,0.3516223271179199,0.45803308868408205,0.9097,852.2419546842575,76.41724109183997
