target_r,strategy,J,D,R,delta_R,delta_R95_low,delta_R95_high,R_linear,adamw_minus_linear_R,global_scalar,actual_median_relative_noise_ratio
0.01,decayed-prefix,0.025855731274386617,0.022270057211895403,1.1610087494780188,,,,,,2.1629518656585796e-08,0.010000000000000002
0.01,adam-m-aware,0.0258552540128753,0.02226113031507598,1.1614528843292948,0.0004441348512760346,0.000423842898134702,0.0004646404633271317,0.744288337724042,0.4171645466052528,2.1640091826052745e-08,0.009999999999999981
0.1,decayed-prefix,0.9449040270197896,0.6484495294098517,1.4571743584727999,,,,,,2.1629518656585798e-07,0.10000000000000041
0.1,adam-m-aware,0.9435208462903704,0.6462376636783267,1.460021443070858,0.0028470845980581583,0.0027994804900533356,0.0028946665191723507,0.7442883377240415,0.7157331053468166,2.1640091826052746e-07,0.09999999999999976
1.0,decayed-prefix,48.65886540891004,10.47844996892712,4.643708330259097,,,,,,2.1629518656585796e-06,1.0000000000000018
1.0,adam-m-aware,48.65446522651861,10.382270520273925,4.686302975010028,0.04259464475093111,0.04251584797469066,0.042676301647603256,0.7442883377240418,3.942014637285986,2.1640091826052745e-06,0.9999999999999958
