seed,stage,start_step,end_step,num_steps,mean_g2_mf,mean_g2_iid,mean_2gxi_mf,mean_2gxi_iid,mean_xi2_mf,mean_xi2_iid,mean_private_second_moment_mf,mean_private_second_moment_iid,delta_traj,delta_feedback,delta_noise,delta_total,delta_decomposition_residual
0,early,1,97,97,6.603477132230274e-10,1.17153572925218e-09,3.953810117994094e-10,-3.831657858446657e-11,0.00025552231308370447,0.00025552048359291877,0.00025552336881242484,0.0002555216168120752,-5.111880160291526e-10,4.33697590383876e-10,1.8294907856990401e-09,1.7520003496476581e-09,-1.0406105400255418e-17
0,late,98,488,391,1.6106966950171074e-10,1.1696037760068105e-09,1.8165221030919818e-10,-9.047301855856514e-14,0.0002565268841584015,0.0002565199670487839,0.0002565272268802929,0.00025652113656208614,-1.0085341065050998e-09,1.8174268332775676e-10,6.917109617618315e-09,6.090318206784101e-09,1.2343129543512175e-17
0,full,1,488,488,2.603114117987757e-10,1.1699877913035333e-09,2.2413518929393278e-10,-7.688694821618148e-12,0.00025632720507183266,0.0002563212992307123,0.0002563276895184421,0.00025632246152980934,-9.096763795047576e-10,2.3182388411555093e-10,5.905841120345309e-09,5.2279886327715776e-09,7.81547622418376e-18
1,early,1,97,97,6.831155486635978e-10,1.1381397582692883e-09,3.233462466984705e-10,3.4855373963210504e-11,0.00025552908677521364,0.000255537529886441,0.00025553009323699854,0.0002555387028815434,-4.5502420960569043e-10,2.8849087273526e-10,-8.443111227361428e-09,-8.609644544879409e-09,1.9352449604772168e-17
1,late,98,488,391,1.6299043443060415e-10,1.0682542899071814e-09,1.8246299857847994e-10,6.872315165462027e-12,0.0002565055019240064,0.00025650144785718847,0.00025650584737743544,0.00025650252298376267,-9.052638554765773e-10,1.7559068341301792e-10,4.054066817926055e-09,3.3243936727782655e-09,2.6915768918205876e-17
1,full,1,488,488,2.663759591859328e-10,1.0821454588234198e-09,2.1046643109413379e-10,1.2434521524850556e-11,0.0002563114194046767,0.00025630984940808497,0.0002563118962470617,0.00025631094398803465,-8.157694996374871e-10,1.9803190956928322e-10,1.5699965917170128e-09,9.522590270569925e-10,2.5408183654966996e-17
2,early,1,97,97,6.142391173297579e-10,1.3606380741462898e-09,3.408477170530105e-10,1.778136828428702e-11,0.00025554115436347103,0.00025553966961805853,0.0002555421094502847,0.00025554104803752185,-7.463989568165319e-10,3.230663487687235e-10,1.4847454124999014e-09,1.0614127628574312e-09,-4.15946619173287e-17
2,late,98,488,391,1.3262590716619512e-10,1.2645969305825109e-09,1.5938952245383807e-10,9.905488040771321e-12,0.0002565218028975675,0.0002565211794354603,0.00025652209491298873,0.0002565224539378945,-1.1319710234163157e-09,1.4948403441306675e-10,6.234621071905637e-10,-3.59024905779385e-10,-2.3966699738645723e-17
2,full,1,488,488,2.2835640180936235e-10,1.2836870759220324e-09,1.9545805703605062e-10,1.1470980630158665e-11,0.0002563268789061589,0.0002563260842463456,0.0002563273027206069,0.0002563273794044188,-1.05533067411267e-09,1.8398707640589196e-10,7.946598133213092e-10,-7.668381186119733e-11,-2.747572852368092e-17
3,early,1,97,97,6.709083836882957e-10,1.3338357508988818e-09,3.8105005667424233e-10,-1.83114036953195e-11,0.0002555081350176797,0.0002555054280614077,0.0002555091869761232,0.00025550674358572193,-6.629273672105861e-10,3.9936146036956185e-10,2.706956271983363e-09,2.4433904012490654e-09,3.61067265598765e-17
3,late,98,488,391,1.629707101543992e-10,1.2481097557147603e-09,1.734336782871601e-10,4.9451796818594566e-12,0.00025652317442488196,0.0002565247714138397,0.00025652351082926803,0.0002565260244687813,-1.0851390455603611e-09,1.6848849860530064e-10,-1.5969889577416296e-09,-2.5136395132778315e-09,-8.581141482532751e-18
