seed,stage,branch,start_step,end_step,num_steps,num_coordinate_observations,mean_phi_t,mean_g2,mean_g2_cross,mean_xi2,mean_2gxi,mean_abs_2gxi,rms_2gxi,negative_fraction_g2_cross,R_signed,R_abs,R_noise,rho_fb,mean_g2_cross_minus_g2,mean_private_second_moment,private_v_decomposition_max_abs,private_v_decomposition_rms
0,early,mf,1,97,97,533597194,0.000255532451418046,6.603477132230274e-10,1.055728720367074e-09,0.00025552231308370447,3.953810117994094e-10,3.156116289827287e-07,8.158321537548607e-07,0.499725368526793,0.5987466964481974,477.94763677198245,386951.1591651469,1.5473443670255513e-06,3.953810117994094e-10,0.00025552336881242484,9.313225746154785e-10,5.531153093796518e-11
0,early,iid,1,97,97,533597194,0.000255532451418046,1.17153572925218e-09,1.133219156430751e-09,0.00025552048359291877,-3.831657858446657e-11,4.1278415755393145e-07,1.091388116117032e-06,0.49960324014585045,-0.032706282555227735,352.3444887314036,218107.29046737973,-1.4995501748310106e-07,-3.831657858446657e-11,0.0002555216168120752,9.313225746154785e-10,5.501020082311947e-11
0,late,mf,98,488,391,2150891782,0.00025651929900050163,1.6106966950171074e-10,3.4272189141644746e-10,0.0002565268841584015,1.8165221030919818e-10,1.7271079448100562e-07,4.0659662641483443e-07,0.49981398426968116,1.1277865713089388,1072.2738490450024,1592645.4990067335,7.08121532388904e-07,1.8165221030919818e-10,0.0002565272268802929,1.0477378964424133e-09,1.226978467395739e-10
0,late,iid,98,488,391,2150891782,0.00025651929900050163,1.1696037760068105e-09,1.1695133022259828e-09,0.0002565199670487839,-9.047301855856514e-14,3.7672516305123225e-07,1.0958418539588183e-06,0.4979358534983662,-7.735356230419552e-05,322.09639775396795,219322.10917151676,-3.526938647288979e-10,-9.047301855856514e-14,0.0002565211365620861,9.604264050722122e-10,1.2367927471725254e-10
0,full,mf,1,488,488,2684488976,0.00025632314282120205,2.603114117987757e-10,4.844466094660596e-10,0.00025632720507183266,2.2413518929393278e-10,2.0111526363401206e-07,5.14546400781658e-07,0.49979637007488587,0.8610271357107927,772.5948787426835,984694.4599953893,8.744104599865671e-07,2.2413518929393278e-10,0.00025632768951844217,1.0477378964424133e-09,1.1256300815294294e-10
0,full,iid,1,488,488,2684488976,0.00025632314282120205,1.1699877913035333e-09,1.1622990970166845e-09,0.0002563212992307123,-7.688694821618148e-12,3.838926271224655e-07,1.094958024847948e-06,0.49826728076231286,-0.006571602608820261,328.11678034242937,219080.3195861847,-2.999631651639543e-08,-7.688694821618148e-12,0.00025632246152980934,9.604264050722122e-10,1.1339118767404039e-10
1,early,mf,1,97,97,533597194,0.000255532451418046,6.831155486635978e-10,1.0064617849045471e-09,0.00025552908677521364,3.233462466984705e-10,3.275119121150693e-07,8.31174306515702e-07,0.49972770232515235,0.4733404873173267,479.4385265505843,374064.2227733125,1.2653989836504008e-06,3.233462466984705e-10,0.00025553009323699854,1.3969838619232178e-09,5.530449386255257e-11
1,early,iid,1,97,97,533597194,0.000255532451418046,1.1381397582692883e-09,1.1729951023957023e-09,0.000255537529886441,3.4855373963210504e-11,4.001090942274084e-07,1.0755425164517879e-06,0.4997461877532841,0.030624862816683692,351.54654015059987,224522.1011126296,1.3640021478919347e-07,3.4855373963210504e-11,0.00025553870288154337,1.3969838619232178e-09,5.502525786091312e-11
1,late,mf,98,488,391,2150891782,0.00025651929900050163,1.6299043443060415e-10,3.454534290432541e-10,0.0002565055019240064,1.8246299857847994e-10,1.7414718642416018e-07,4.090488136899397e-07,0.49980445964562015,1.1194705947984127,1068.450348221547,1573745.740479131,7.11341461332621e-07,1.8246299857847994e-10,0.00025650584737743544,9.313225746154785e-10,1.2290935821226292e-10
1,late,iid,98,488,391,2150891782,0.00025651929900050163,1.0682542899071814e-09,1.0751265742029672e-09,0.00025650144785718847,6.872315165462027e-12,3.503889783626472e-07,1.0466079861722787e-06,0.4995902232501817,0.006433220283214727,328.0014708792718,240112.7243584255,2.6792500482446782e-08,6.872315165462027e-12,0.0002565025229837626,9.604264050722122e-10,1.2384392545909433e-10
