target_r,strategy,J,D,R,delta_R
0.01,decayed-prefix,0.003958937769791963,0.0018418125074797296,2.1494792513974357,
0.01,adam-m-aware,0.003806001761538175,0.0018183827122251104,2.09306970196657,-0.056409549430865624
0.1,decayed-prefix,0.21914908278486073,0.04601695280210229,4.762355380794551,
0.1,adam-m-aware,0.20837949863894326,0.045088929307041836,4.621522441128342,-0.14083293966620847
1.0,decayed-prefix,3.5621455581652297,0.4427370332794981,8.04573661204542,
1.0,adam-m-aware,3.427052799815293,0.43295089186190805,7.915569327221456,-0.13016728482396456
