seed,algorithm,window_index,start_step,end_step,mean_p_relative_change,C_00,C_10,C_01,C_11,C_BC,C_real,C_dynamic_clean_p,gap,E_cross,E_square,interaction,R_BC,nonpositive_v_fraction_00,nonpositive_v_fraction_10,nonpositive_v_fraction_01,nonpositive_v_fraction_11,nonpositive_v_fraction_BC
2,bc,0,1,16,0.16868293285369873,1.1668286323547363,1.2847707271575928,5.5065016746521,5.504385948181152,1.54359769821167,1.54359769821167,1.1668286323547363,0.3767690658569336,0.05791318416595459,4.279644131660461,-0.12005782127380371,0.9131379625850202,0.0,0.49959391355514526,0.0,0.0,0.5918872356414795
2,bc,1,17,32,0.038828738033771515,1.2801707983016968,1.3429369926452637,7.7684855461120605,7.7684760093688965,1.4456605911254883,1.4456605911254883,1.2801707983016968,0.1654897928237915,0.031378328800201416,6.456926882266998,-0.06277573108673096,0.9744941417765747,0.0,0.49922293424606323,0.0,0.0,0.5480323433876038
2,bc,2,33,48,0.027676882222294807,1.3007553815841675,1.3336509466171265,6.458732604980469,6.458726406097412,1.4169594049453735,1.4169594049453735,1.3007553815841675,0.11620402336120605,0.016444683074951172,5.1415263414382935,-0.032901763916015625,0.9774709817467088,0.0,0.49932220578193665,0.0,0.0,0.5371881127357483
2,bc,3,49,64,0.018230894580483437,1.2825288772583008,1.3289340734481812,8.268342018127441,8.268336296081543,1.3979003429412842,1.3979003429412842,1.2825288772583008,0.1153714656829834,0.023199737071990967,6.962607681751251,-0.04641091823577881,0.9834848774427828,0.0,0.49930524826049805,0.0,0.0,0.5315123200416565
2,bc,4,65,80,0.01775660738348961,1.291463017463684,1.3249342441558838,7.965510845184326,7.965509414672852,1.3831018209457397,1.3831018209457397,1.291463017463684,0.09163880348205566,0.01673489809036255,6.657311499118805,-0.033472657203674316,0.9862693787204753,0.0,0.4993506968021393,0.0,0.0,0.5277813076972961
2,bc,5,81,96,0.015069268643856049,1.2878812551498413,1.3297319412231445,7.391547679901123,7.391543865203857,1.3760873079299927,1.3760873079299927,1.2878812551498413,0.08820605278015137,0.0209234356880188,6.082739174365997,-0.04185450077056885,0.9855486683299208,0.0,0.49928534030914307,0.0,0.0,0.5254154205322266
2,bc,6,97,112,0.015381019562482834,1.2951427698135376,1.3351794481277466,8.539016723632812,8.539015769958496,1.373491644859314,1.373491644859314,1.2951427698135376,0.07834887504577637,0.02001786231994629,7.223855137825012,-0.04003763198852539,0.9891841180754813,0.0,0.4992527663707733,0.0,0.0,0.5235148072242737
2,bc,7,113,128,0.012692384421825409,1.2442257404327393,1.32901132106781,8.800025939941406,8.800025939941406,1.365688443183899,1.365688443183899,1.2442257404327393,0.12146270275115967,0.0423927903175354,7.513407409191132,-0.0847855806350708,0.9839245745594148,0.0,0.4991597831249237,0.0,0.0,0.5220422148704529
2,bc,8,129,144,0.010268774814903736,1.2921146154403687,1.3225377798080444,6.662393569946289,6.662391185760498,1.362246036529541,1.362246036529541,1.2921146154403687,0.07013142108917236,0.015210390090942383,5.355066180229187,-0.030425548553466797,0.9869408176337198,0.0,0.49904945492744446,0.0,0.0,0.5207255482673645
2,bc,9,145,160,0.010283910669386387,1.3195620775222778,1.3269258737564087,7.666332244873047,7.666332244873047,1.3572039604187012,1.3572039604187012,1.3195620775222778,0.03764188289642334,0.0036818981170654297,6.343088269233704,-0.007363796234130859,0.9940691277761937,0.0,0.49892809987068176,0.0,0.0,0.5196357369422913
