step,layer,clean_norm,eps3_norm,eps8_norm,eps3_over_eps8_norm,q_distance_clean_eps3,q_distance_clean_eps8,q_distance_eps3_eps8,q_cosine_clean_eps3,q_cosine_clean_eps8,q_cosine_eps3_eps8
32,blocks/0/attention/query/kernel,2.88319929513666166e-04,2.00515675568161689e-01,8.65490926403547217e-02,2.31678541566440943e+00,1.96165621999938473e+01,1.96111491778413196e+01,1.49730970929902174e-01,-2.10810558913399233e-03,-1.55513561340155028e-03,9.99941616240480280e-01
32,blocks/5/attention/query/kernel,4.24314352488647933e-04,2.00875437997960704e-01,8.67089024013794063e-02,2.31666452272800383e+00,1.96559577380247354e+01,1.96482833694873982e+01,1.84425425275686700e-01,-6.13717343493337762e-03,-5.35166501998721525e-03,9.99911425162791301e-01
32,blocks/11/attention/query/kernel,6.16199702500135537e-04,1.99891101325455539e-01,8.62863938210541442e-02,2.31660047979292782e+00,1.96201443393876502e+01,1.96117258098668295e+01,1.79995144743815505e-01,-2.47412473543017278e-03,-1.61403448280378944e-03,9.99915629551741514e-01
244,blocks/0/attention/query/kernel,5.88509241810017606e-05,2.03943547869154918e-01,8.80289886801437493e-02,2.31677713134011531e+00,1.95586939728329270e+01,1.95584499108814640e+01,3.80850028960463757e-02,3.79554707570016686e-03,3.82040907172098536e-03,9.99996222741027285e-01
244,blocks/5/attention/query/kernel,5.14701600413046108e-05,2.05782212656514918e-01,8.88233310860385983e-02,2.31675856039652750e+00,1.95947432340461170e+01,1.95943623724723857e+01,4.59063757027987907e-02,1.19889561989273765e-04,1.58758375620887015e-04,9.99994511991327717e-01
244,blocks/11/attention/query/kernel,2.60768516168470719e-05,2.02555007658644093e-01,8.74295881893603632e-02,2.31677869990578067e+00,1.95936411631598091e+01,1.95932579732083028e+01,7.10238302975736008e-02,2.32359295129151575e-04,2.71463529451309183e-04,9.99986863582109198e-01
480,blocks/0/attention/query/kernel,3.27011615272215883e-05,2.03298808083791444e-01,8.77506829561058160e-02,2.31677750229573132e+00,1.95966883203026576e+01,1.95969244241631912e+01,2.82786096220985425e-02,-7.86279247049049103e-05,-1.02726266572551676e-04,9.99997917500619615e-01
480,blocks/5/attention/query/kernel,3.18599950914951195e-05,2.03012319505981975e-01,8.76268899293948939e-02,2.31678106651461135e+00,1.96126911933615027e+01,1.96125378269953394e+01,3.36049472824638332e-02,-1.71264543270741140e-03,-1.69697920657078906e-03,9.99997059134162036e-01
480,blocks/11/attention/query/kernel,1.66033707161221339e-05,2.03918210799581334e-01,8.80175180032528454e-02,2.31679119595311889e+00,1.95944862140595681e+01,1.95940717541331395e+01,3.37506142457179373e-02,1.46119809972703330e-04,1.88416911150279527e-04,9.99997033583432393e-01
