step,index,clean,dp
32,1,2.08080178708769381e-04,2.87313424050807953e-02
32,2,9.91658525890670717e-05,2.76951901614665985e-02
32,3,8.84414766915142536e-05,2.73177325725555420e-02
32,4,6.96336282999254763e-05,2.68824268132448196e-02
32,5,5.74823679926339537e-05,2.67536863684654236e-02
32,6,4.92713588755577803e-05,2.63376981019973755e-02
32,7,4.12573754147160798e-05,2.61897034943103790e-02
32,8,3.47004752256907523e-05,2.59014442563056946e-02
32,9,3.26011650031432509e-05,2.56866440176963806e-02
32,10,3.09527131321374327e-05,2.53141093999147415e-02
32,11,2.81012744380859658e-05,2.51222569495439529e-02
32,12,2.63035162788582966e-05,2.48872078955173492e-02
32,13,2.48072792601305991e-05,2.46976427733898163e-02
32,14,2.37501244555460289e-05,2.44201142340898514e-02
32,15,2.13311013794736937e-05,2.43205949664115906e-02
32,16,2.01786842808360234e-05,2.40429937839508057e-02
32,17,1.78757345565827563e-05,2.38921139389276505e-02
32,18,1.70925977727165446e-05,2.35168673098087311e-02
32,19,1.65176461450755596e-05,2.32768785208463669e-02
32,20,1.47533837662194856e-05,2.30747926980257034e-02
32,21,1.33976373035693541e-05,2.28811856359243393e-02
32,22,1.23446498037083074e-05,2.26941201835870743e-02
32,23,1.15289039968047291e-05,2.25601922720670700e-02
32,24,1.10133451016736217e-05,2.21546385437250137e-02
32,25,9.91631623037392274e-06,2.21180506050586700e-02
32,26,9.49800414673518389e-06,2.20285281538963318e-02
32,27,9.48017623159103096e-06,2.19323188066482544e-02
32,28,9.29675297811627388e-06,2.18155123293399811e-02
32,29,8.16848660178948194e-06,2.16555111110210419e-02
32,30,7.97746270109200850e-06,2.12922058999538422e-02
32,31,7.09805499354843050e-06,2.11785472929477692e-02
32,32,6.57809187032398768e-06,2.10500452667474747e-02
32,33,6.18187777945422567e-06,2.07610595971345901e-02
32,34,5.87453541811555624e-06,2.07287855446338654e-02
32,35,5.53678773940191604e-06,2.05162093043327332e-02
32,36,5.32116382601088844e-06,2.02051047235727310e-02
32,37,4.62621665064943954e-06,2.00315900146961212e-02
32,38,4.53053007731796242e-06,1.99560094624757767e-02
32,39,4.26510177931049839e-06,1.97820849716663361e-02
32,40,3.99635609937831759e-06,1.97054091840982437e-02
32,41,3.80704636882001068e-06,1.96543317288160324e-02
32,42,3.66306471732968930e-06,1.93175394088029861e-02
32,43,3.51363041772856377e-06,1.92398186773061752e-02
32,44,3.31882279169803951e-06,1.91195774823427200e-02
32,45,3.22008236253168434e-06,1.90222468227148056e-02
32,46,3.00415308629453648e-06,1.88011843711137772e-02
32,47,2.81578127214743290e-06,1.86828710138797760e-02
32,48,2.58023055721423589e-06,1.86064261943101883e-02
32,49,2.49550703301792964e-06,1.84401497244834900e-02
32,50,2.36116966334520839e-06,1.82767808437347412e-02
32,51,2.30210980589617975e-06,1.81405618786811829e-02
32,52,2.20321248889376875e-06,1.80096980184316635e-02
32,53,2.08147775992983952e-06,1.76699422299861908e-02
32,54,1.86778447641700041e-06,1.75900403410196304e-02
32,55,1.81288851308636367e-06,1.75642780959606171e-02
32,56,1.70651776443264680e-06,1.74664668738842010e-02
32,57,1.68665849287208403e-06,1.73621661961078644e-02
32,58,1.58020748131093569e-06,1.71642750501632690e-02
32,59,1.45810997764783679e-06,1.70877669006586075e-02
32,60,1.43138413477572612e-06,1.68524142354726791e-02
32,61,1.33949174596637022e-06,1.67266596108675003e-02
32,62,1.25077758639235981e-06,1.63095239549875259e-02
32,63,1.11154758997145109e-06,1.62634570151567459e-02
32,64,1.09684719973301981e-06,1.61258149892091751e-02
32,65,1.02871570106799481e-06,1.60017814487218857e-02
32,66,9.26708196402614703e-07,1.59312915056943893e-02
32,67,8.82905396792921238e-07,1.57566033303737640e-02
32,68,7.95916605511592934e-07,1.56908817589282990e-02
32,69,7.64241235629015137e-07,1.55628724023699760e-02
32,70,7.01944259162701201e-07,1.55051164329051971e-02
32,71,6.79890490573598072e-07,1.51941655203700066e-02
32,72,6.54291966384334955e-07,1.51278572157025337e-02
32,73,6.26271400960831670e-07,1.49613795801997185e-02
32,74,5.97064740759378765e-07,1.48684615269303322e-02
32,75,5.27400288774515502e-07,1.47438477724790573e-02
32,76,5.15405247369926656e-07,1.44230080768465996e-02
32,77,4.57437693057727301e-07,1.43755031749606133e-02
32,78,4.52204716339110746e-07,1.43534522503614426e-02
32,79,4.26851386237103725e-07,1.41591029241681099e-02
32,80,3.55550099584434065e-07,1.39353759586811066e-02
32,81,3.46179348298392142e-07,1.37276286259293556e-02
32,82,3.35526550543363555e-07,1.35428868234157562e-02
32,83,3.30063613773745601e-07,1.33790867403149605e-02
32,84,3.15234444769885158e-07,1.32372798398137093e-02
32,85,2.90457165874613565e-07,1.31875416263937950e-02
32,86,2.76582284186588367e-07,1.30380503833293915e-02
32,87,2.54548950806565699e-07,1.28843951970338821e-02
32,88,2.43742448446937487e-07,1.28498217090964317e-02
32,89,2.23938414478652703e-07,1.26549219712615013e-02
32,90,1.95355326582102862e-07,1.24592715874314308e-02
32,91,1.91752732803252002e-07,1.24195311218500137e-02
32,92,1.87334734391697566e-07,1.21044777333736420e-02
32,93,1.55553465219782083e-07,1.20773268863558769e-02
32,94,1.47380546877684537e-07,1.20296012610197067e-02
32,95,1.35432060233142693e-07,1.19298771023750305e-02
32,96,1.34383839167639962e-07,1.18965944275259972e-02
32,97,1.16750044298896682e-07,1.17701599374413490e-02
32,98,1.14808891282791592e-07,1.15260565653443336e-02
32,99,1.08486261751750135e-07,1.14246234297752380e-02
32,100,1.02706842142197274e-07,1.11841242760419846e-02
32,101,9.57414485469598731e-08,1.11127058044075966e-02
32,102,9.22191887298140500e-08,1.09942015260457993e-02
32,103,8.36932727565908863e-08,1.09242536127567291e-02
32,104,7.97711621203234245e-08,1.08175305649638176e-02
32,105,7.83590863306926622e-08,1.05963340029120445e-02
32,106,7.38038608005808783e-08,1.05542344972491264e-02
32,107,6.97235051916322845e-08,1.03463577106595039e-02
32,108,6.49662084128976858e-08,1.02123264223337173e-02
32,109,6.10613710705365520e-08,1.01305516436696053e-02
32,110,5.67948674756735272e-08,9.96227562427520752e-03
32,111,5.52834116263056785e-08,9.76761989295482635e-03
32,112,5.27854595588905795e-08,9.72965173423290253e-03
32,113,5.18922007586297696e-08,9.55358520150184631e-03
32,114,4.92135860952203075e-08,9.38237365335226059e-03
32,115,4.79643702533394389e-08,9.34639666229486465e-03
32,116,4.37510720985301305e-08,9.12971422076225281e-03
32,117,3.98270039170256496e-08,9.10380668938159943e-03
32,118,3.91074266303803597e-08,8.96046869456768036e-03
32,119,3.66083980907205842e-08,8.80947057157754898e-03
32,120,3.57823104479848553e-08,8.69036652147769928e-03
32,121,3.45001254231647181e-08,8.66479147225618362e-03
32,122,3.37418661899846484e-08,8.52534547448158264e-03
32,123,2.98878717330808286e-08,8.44626314938068390e-03
32,124,2.80398211316423840e-08,8.36830493062734604e-03
32,125,2.72313922522471330e-08,8.12288094311952591e-03
32,126,2.59097152621734494e-08,8.05913563817739487e-03
32,127,2.45694042888544573e-08,8.03361181169748306e-03
32,128,2.26358629618061968e-08,7.85708799958229065e-03
32,129,2.15768540812177889e-08,7.68698472529649734e-03
32,130,2.11292050522615682e-08,7.56202032789587975e-03
32,131,1.96876008828894555e-08,7.45848659425973892e-03
32,132,1.89593105659469074e-08,7.31405289843678474e-03
