strategy,workload_type,seed,sensitivity_squared,strategy_objective,epsilon,delta,adjacency,calibrated_noise_stddev,calibrated_noise_multiplier,epoch,step,effective_epoch,epsilon_spent,train_loss,test_loss,test_accuracy,elapsed_seconds,eval_seconds
momentum_wd,momentum_wd,0,108.41618347167969,24.92688751220703,3.0,1e-05,add_remove,0.028279861488559415,1.390593456674537,1,98,1.00352,1.1470088838712447,0.5836205081176757,0.5967419052124023,0.8052,210.09800311550498,72.47379479371011
momentum_wd,momentum_wd,0,108.41618347167969,24.92688751220703,3.0,1e-05,add_remove,0.028279861488559415,1.390593456674537,2,196,2.00704,1.7772693726940738,0.4539292584228516,0.4852788383483887,0.8612,331.6752968588844,64.06438630633056
momentum_wd,momentum_wd,0,108.41618347167969,24.92688751220703,3.0,1e-05,add_remove,0.028279861488559415,1.390593456674537,3,293,3.00032,2.2544956710023016,0.3918832093811035,0.4307039901733398,0.8863,456.8819032786414,65.17138904612511
momentum_wd,momentum_wd,0,108.41618347167969,24.92688751220703,3.0,1e-05,add_remove,0.028279861488559415,1.390593456674537,4,391,4.00384,2.68189626489663,0.353477868347168,0.3991425521850586,0.8982,579.3411700194702,63.644293679855764
momentum_wd,momentum_wd,0,108.41618347167969,24.92688751220703,3.0,1e-05,add_remove,0.028279861488559415,1.390593456674537,5,488,4.99712,2.9999999999999867,0.3337840995788574,0.3855363311767578,0.906,703.2990978015587,65.56523582525551
