stage,scope,metric,mean,std
early,P0,C_corr,0.11686243378149304,8.904883708365588e-05
early,P0,C_iid,25.389773506600992,0.024674810110741147
early,P0,J_corr,0.010892346967576362,7.946561829142186e-06
early,P0,J_iid,10.215047494047402,0.00999279724657705
early,P0,D_corr,0.09320657461591259,5.063685861747823e-06
early,P0,D_iid,0.40232922097093926,0.00012784480038861005
early,P0,G_C,0.9953972629578335,1.2912528010925583e-06
early,P0,G_J,0.9989336956740419,5.080682086329194e-07
early,P1,C_corr,0.2542604495687411,0.004782962882443214
early,P1,C_iid,19.885588622687205,0.13948568565222172
early,P1,J_corr,289406699.83180815,28480936.97620167
early,P1,J_iid,82584764857.46242,6062206880.577934
early,P1,D_corr,1137137870.1130397,91358421.73190354
early,P1,D_iid,4152205649.8371406,287645880.73248214
early,P1,G_C,0.9872142766919646,0.00018185689231090617
early,P1,G_J,0.9964998082284692,8.973667152411059e-05
early,P2,C_corr,0.2839069880195702,0.00016481544094222128
early,P2,C_iid,20.91689230685941,0.01784382158817703
early,P2,J_corr,4.776338359797484,0.002554517215783865
early,P2,J_iid,351.9085313173328,0.27882926453381834
early,P2,D_corr,16.823602961053197,0.0007701403696934673
early,P2,D_iid,16.82413134365542,0.00102207082471027
early,P2,G_C,0.9864268931577967,1.9182494157304435e-05
early,P2,G_J,0.9864273207150295,1.7767633361442e-05
early,P3,C_corr,0.28393887116901734,0.0001608723169000985
early,P3,C_iid,20.916688541885012,0.01786329302842122
early,P3,J_corr,4.777102966988905,0.0024821864447787494
early,P3,J_iid,351.90920136218364,0.2782037679949242
early,P3,D_corr,16.82440671890048,0.0007994297370243609
early,P3,D_iid,16.82432730077326,0.0010705162298611818
early,P3,G_C,0.9864252367039564,1.9030295721501058e-05
early,P3,G_J,0.9864251739242486,1.7577233733097057e-05
early,degradation,G_C_delta_state,0.008182986265868997,0.00018218170595274752
early,degradation,G_C_delta_odd,0.0007873835341678515,0.00018261133145173894
early,degradation,G_C_delta_even,1.6564538403892233e-06,2.111583847540012e-07
early,degradation,G_J_delta_state,0.002433887445572528,9.001764396083565e-05
early,degradation,G_J_delta_odd,0.01007248751343981,8.832366016803135e-05
