epsilon,step,layer,index,clean,dp
3,32,blocks/0/attention/query/kernel,1,2.08403303986415267e-04,2.87312231957912445e-02
3,32,blocks/0/attention/query/kernel,2,9.93466092040762305e-05,2.76951082050800323e-02
3,32,blocks/0/attention/query/kernel,3,8.85791814653202891e-05,2.73175369948148727e-02
3,32,blocks/0/attention/query/kernel,4,6.98049916536547244e-05,2.68822032958269119e-02
3,32,blocks/0/attention/query/kernel,5,5.76502898184116930e-05,2.67535708844661713e-02
3,32,blocks/0/attention/query/kernel,6,4.94387350045144558e-05,2.63377651572227478e-02
3,32,blocks/0/attention/query/kernel,7,4.12162844440899789e-05,2.61897165328264236e-02
3,32,blocks/0/attention/query/kernel,8,3.48231587850023061e-05,2.59013380855321884e-02
3,32,blocks/0/attention/query/kernel,9,3.28250862366985530e-05,2.56869383156299591e-02
3,32,blocks/0/attention/query/kernel,10,3.11124749714508653e-05,2.53142751753330231e-02
3,32,blocks/0/attention/query/kernel,11,2.83555327769136056e-05,2.51222997903823853e-02
3,32,blocks/0/attention/query/kernel,12,2.64417667494853958e-05,2.48876288533210754e-02
3,32,blocks/0/attention/query/kernel,13,2.49151162279304117e-05,2.46977768838405609e-02
3,32,blocks/0/attention/query/kernel,14,2.38839329540496692e-05,2.44202502071857452e-02
3,32,blocks/0/attention/query/kernel,15,2.14472092920914292e-05,2.43209544569253922e-02
3,32,blocks/0/attention/query/kernel,16,2.02314131456660107e-05,2.40429323166608810e-02
3,32,blocks/0/attention/query/kernel,17,1.79387170646805316e-05,2.38923337310552597e-02
3,32,blocks/0/attention/query/kernel,18,1.71119900187477469e-05,2.35168598592281342e-02
3,32,blocks/0/attention/query/kernel,19,1.65946166816866025e-05,2.32772901654243469e-02
3,32,blocks/0/attention/query/kernel,20,1.47714490594808012e-05,2.30745542794466019e-02
3,32,blocks/0/attention/query/kernel,21,1.34336842165794224e-05,2.28812713176012039e-02
3,32,blocks/0/attention/query/kernel,22,1.23876097859465517e-05,2.26940158754587173e-02
3,32,blocks/0/attention/query/kernel,23,1.15426782940630801e-05,2.25598085671663284e-02
3,32,blocks/0/attention/query/kernel,24,1.10677055999985896e-05,2.21548806875944138e-02
3,32,blocks/0/attention/query/kernel,25,9.88827378023415804e-06,2.21182983368635178e-02
3,32,blocks/0/attention/query/kernel,26,9.58785585680743679e-06,2.20285225659608841e-02
3,32,blocks/0/attention/query/kernel,27,9.49222976487362757e-06,2.19323188066482544e-02
3,32,blocks/0/attention/query/kernel,28,9.33601768338121474e-06,2.18157619237899780e-02
3,32,blocks/0/attention/query/kernel,29,8.18767966848099604e-06,2.16556694358587265e-02
3,32,blocks/0/attention/query/kernel,30,8.00387351773679256e-06,2.12923251092433929e-02
3,32,blocks/0/attention/query/kernel,31,7.14785983291221783e-06,2.11786627769470215e-02
3,32,blocks/0/attention/query/kernel,32,6.58937278785742819e-06,2.10500583052635193e-02
3,32,blocks/0/attention/query/kernel,33,6.20542641627253033e-06,2.07608249038457870e-02
3,32,blocks/0/attention/query/kernel,34,5.83932751396787353e-06,2.07286551594734192e-02
3,32,blocks/0/attention/query/kernel,35,5.53456084162462503e-06,2.05160714685916901e-02
3,32,blocks/0/attention/query/kernel,36,5.32801914232550189e-06,2.02052854001522064e-02
3,32,blocks/0/attention/query/kernel,37,4.63451215182431042e-06,2.00314354151487350e-02
3,32,blocks/0/attention/query/kernel,38,4.54978544439654797e-06,1.99560075998306274e-02
3,32,blocks/0/attention/query/kernel,39,4.28510702477069572e-06,1.97819992899894714e-02
3,32,blocks/0/attention/query/kernel,40,3.99954342356068082e-06,1.97054315358400345e-02
3,32,blocks/0/attention/query/kernel,41,3.81688323614071123e-06,1.96544919162988663e-02
3,32,blocks/0/attention/query/kernel,42,3.67192046724085230e-06,1.93174164742231369e-02
3,32,blocks/0/attention/query/kernel,43,3.50983577845909167e-06,1.92399453371763229e-02
3,32,blocks/0/attention/query/kernel,44,3.32424201587855350e-06,1.91198680549860001e-02
3,32,blocks/0/attention/query/kernel,45,3.20486242344486527e-06,1.90222002565860748e-02
3,32,blocks/0/attention/query/kernel,46,3.00791407426004298e-06,1.88010893762111664e-02
3,32,blocks/0/attention/query/kernel,47,2.80821700471278746e-06,1.86827387660741806e-02
3,32,blocks/0/attention/query/kernel,48,2.58221075455367099e-06,1.86065267771482468e-02
3,32,blocks/0/attention/query/kernel,49,2.50157427217345685e-06,1.84401497244834900e-02
3,32,blocks/0/attention/query/kernel,50,2.37665381064289249e-06,1.82765815407037735e-02
3,32,blocks/0/attention/query/kernel,51,2.30680620916245971e-06,1.81406121701002121e-02
3,32,blocks/0/attention/query/kernel,52,2.20175434151315130e-06,1.80095992982387543e-02
3,32,blocks/0/attention/query/kernel,53,2.09506220016919542e-06,1.76699738949537277e-02
3,32,blocks/0/attention/query/kernel,54,1.86076135832990985e-06,1.75902489572763443e-02
3,32,blocks/0/attention/query/kernel,55,1.81656093900528504e-06,1.75644773989915848e-02
3,32,blocks/0/attention/query/kernel,56,1.70756607076327782e-06,1.74666456878185272e-02
3,32,blocks/0/attention/query/kernel,57,1.69061968335881829e-06,1.73621661961078644e-02
3,32,blocks/0/attention/query/kernel,58,1.57969168412819272e-06,1.71644836664199829e-02
3,32,blocks/0/attention/query/kernel,59,1.47108835335529875e-06,1.70876644551753998e-02
3,32,blocks/0/attention/query/kernel,60,1.45203671308991034e-06,1.68525092303752899e-02
3,32,blocks/0/attention/query/kernel,61,1.33920411826693453e-06,1.67267881333827972e-02
3,32,blocks/0/attention/query/kernel,62,1.25956546526140301e-06,1.63094922900199890e-02
3,32,blocks/0/attention/query/kernel,63,1.10854080048738979e-06,1.62632968276739120e-02
3,32,blocks/0/attention/query/kernel,64,1.09579434592887992e-06,1.61258243024349213e-02
3,32,blocks/0/attention/query/kernel,65,1.02788101230544271e-06,1.60017348825931549e-02
3,32,blocks/0/attention/query/kernel,66,9.26914708543336019e-07,1.59313865005970001e-02
3,32,blocks/0/attention/query/kernel,67,8.83622590208688052e-07,1.57565549015998840e-02
3,32,blocks/0/attention/query/kernel,68,7.98235646470857318e-07,1.56909599900245667e-02
3,32,blocks/0/attention/query/kernel,69,7.63012792504014215e-07,1.55627280473709106e-02
3,32,blocks/0/attention/query/kernel,70,7.03060038631520001e-07,1.55051425099372864e-02
3,32,blocks/0/attention/query/kernel,71,6.79870936437509954e-07,1.51942437514662743e-02
3,32,blocks/0/attention/query/kernel,72,6.54684981782338582e-07,1.51279624551534653e-02
3,32,blocks/0/attention/query/kernel,73,6.28130692348349839e-07,1.49615090340375900e-02
3,32,blocks/0/attention/query/kernel,74,6.01018200541147962e-07,1.48686012253165245e-02
3,32,blocks/0/attention/query/kernel,75,5.30461477410426596e-07,1.47439166903495789e-02
3,32,blocks/0/attention/query/kernel,76,5.12580243139382219e-07,1.44230267032980919e-02
3,32,blocks/0/attention/query/kernel,77,4.60463041918046656e-07,1.43755842000246048e-02
3,32,blocks/0/attention/query/kernel,78,4.48533143071472296e-07,1.43534494563937187e-02
3,32,blocks/0/attention/query/kernel,79,4.27282856207966688e-07,1.41591383144259453e-02
3,32,blocks/0/attention/query/kernel,80,3.53473410541482735e-07,1.39352995902299881e-02
3,32,blocks/0/attention/query/kernel,81,3.45990031291876221e-07,1.37277562171220779e-02
3,32,blocks/0/attention/query/kernel,82,3.37963143692832091e-07,1.35429492220282555e-02
3,32,blocks/0/attention/query/kernel,83,3.31392584485001862e-07,1.33790755644440651e-02
3,32,blocks/0/attention/query/kernel,84,3.16327458449450205e-07,1.32372593507170677e-02
3,32,blocks/0/attention/query/kernel,85,2.91616942149630631e-07,1.31874540820717812e-02
3,32,blocks/0/attention/query/kernel,86,2.77988306152110454e-07,1.30379777401685715e-02
3,32,blocks/0/attention/query/kernel,87,2.54140672950597946e-07,1.28844659775495529e-02
3,32,blocks/0/attention/query/kernel,88,2.43499727048401837e-07,1.28498552367091179e-02
3,32,blocks/0/attention/query/kernel,89,2.21532587829642580e-07,1.26549638807773590e-02
3,32,blocks/0/attention/query/kernel,90,1.94917106455250178e-07,1.24593935906887054e-02
3,32,blocks/0/attention/query/kernel,91,1.93067165810134611e-07,1.24195273965597153e-02
3,32,blocks/0/attention/query/kernel,92,1.85764690741052618e-07,1.21043417602777481e-02
3,32,blocks/0/attention/query/kernel,93,1.57619126639474416e-07,1.20773753151297569e-02
3,32,blocks/0/attention/query/kernel,94,1.47533725680659700e-07,1.20296496897935867e-02
3,32,blocks/0/attention/query/kernel,95,1.35794110178721894e-07,1.19299124926328659e-02
3,32,blocks/0/attention/query/kernel,96,1.33430191340266902e-07,1.18965432047843933e-02
3,32,blocks/0/attention/query/kernel,97,1.16826655016666336e-07,1.17701236158609390e-02
3,32,blocks/0/attention/query/kernel,98,1.15326905358870135e-07,1.15260565653443336e-02
3,32,blocks/0/attention/query/kernel,99,1.08379396124291816e-07,1.14246569573879242e-02
3,32,blocks/0/attention/query/kernel,100,1.03173142917967198e-07,1.11841280013322830e-02
3,32,blocks/0/attention/query/kernel,101,9.53626582145261636e-08,1.11126648262143135e-02
3,32,blocks/0/attention/query/kernel,102,9.24646315070276614e-08,1.09942164272069931e-02
3,32,blocks/0/attention/query/kernel,103,8.38512264067503565e-08,1.09242992475628853e-02
3,32,blocks/0/attention/query/kernel,104,7.94709791307468549e-08,1.08175845816731453e-02
3,32,blocks/0/attention/query/kernel,105,7.86685561138256162e-08,1.05963088572025299e-02
3,32,blocks/0/attention/query/kernel,106,7.43260670788004063e-08,1.05542065575718880e-02
3,32,blocks/0/attention/query/kernel,107,6.97986308750841999e-08,1.03462440893054008e-02
3,32,blocks/0/attention/query/kernel,108,6.48860023488850857e-08,1.02123515680432320e-02
3,32,blocks/0/attention/query/kernel,109,6.09998309641923697e-08,1.01305600255727768e-02
3,32,blocks/0/attention/query/kernel,110,5.71425360362809442e-08,9.96232219040393829e-03
3,32,blocks/0/attention/query/kernel,111,5.54679466802099341e-08,9.76755190640687943e-03
3,32,blocks/0/attention/query/kernel,112,5.28064774130143633e-08,9.72963776439428329e-03
3,32,blocks/0/attention/query/kernel,113,5.19588674308124610e-08,9.55361314117908478e-03
3,32,blocks/0/attention/query/kernel,114,4.92463207990567753e-08,9.38246585428714752e-03
3,32,blocks/0/attention/query/kernel,115,4.74203503131320758e-08,9.34640411287546158e-03
3,32,blocks/0/attention/query/kernel,116,4.37672298403413151e-08,9.12970770150423050e-03
3,32,blocks/0/attention/query/kernel,117,3.99297768183259905e-08,9.10376384854316711e-03
3,32,blocks/0/attention/query/kernel,118,3.92544130534133728e-08,8.96044261753559113e-03
3,32,blocks/0/attention/query/kernel,119,3.65014898306981195e-08,8.80948361009359360e-03
3,32,blocks/0/attention/query/kernel,120,3.57348213242403290e-08,8.69041495025157928e-03
3,32,blocks/0/attention/query/kernel,121,3.42970736255665543e-08,8.66473373025655746e-03
