strategy,workload_type,seed,sensitivity_squared,strategy_objective,epsilon,delta,adjacency,calibrated_noise_stddev,calibrated_noise_multiplier,epoch,step,effective_epoch,epsilon_spent,train_loss,test_loss,test_accuracy,elapsed_seconds,eval_seconds
sgd,sgd,0,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,1,98,1.00352,1.3365104658900253,0.5493579281616211,0.575699105834961,0.8457,298.2739626131952,138.25190383195877
sgd,sgd,0,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,2,196,2.00704,1.9128706270205869,0.4458629504394531,0.5017928115844726,0.8805,467.1667719511315,94.16018230188638
sgd,sgd,0,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,3,293,3.00032,2.352710020216793,0.41888343658447263,0.4845800796508789,0.8949,633.478678336367,93.33010096289217
sgd,sgd,0,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,4,391,4.00384,2.761570169237622,0.38667910980224607,0.4682247833251953,0.9035,801.1367450542748,97.8668434144929
sgd,sgd,0,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,5,488,4.99712,2.9999999999999867,0.37719339874267577,0.4585549407958984,0.9087,936.4532034723088,72.32580472063273
