strategy,workload_type,seed,sensitivity_squared,strategy_objective,epsilon,delta,adjacency,calibrated_noise_stddev,calibrated_noise_multiplier,epoch,step,effective_epoch,epsilon_spent,train_loss,test_loss,test_accuracy,elapsed_seconds,eval_seconds
sgd,sgd,9,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,1,98,1.00352,1.3365104658900253,0.49950853271484374,0.5169312210083008,0.8554,204.41539429407567,64.07844409905374
sgd,sgd,9,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,2,196,2.00704,1.9128705395244265,0.41604467895507813,0.45266028289794924,0.8883,335.95844389591366,68.946648449637
sgd,sgd,9,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,3,293,3.00032,2.352710020216793,0.38066392761230466,0.4261106414794922,0.9003,464.4117031805217,65.54132300708443
sgd,sgd,9,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,4,391,4.00384,2.761570169237622,0.3794463148498535,0.42421200103759765,0.906,591.995384468697,65.44628201425076
sgd,sgd,9,25.884801864624023,62.42338562011719,3.0,1e-05,add_remove,0.013818237189234651,1.390593456674537,5,488,4.99712,2.9999999999999867,0.3606757585144043,0.43000080947875974,0.9092,720.9393646111712,67.42542954534292
